,ARG,AUS,BGD,BOL,BRA,CAN,CHL,CHN,COL,CZE,DEU,EGY,GBR,GRC,GTM,IDN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KOR,MAR,MEX,NGA,NIC,NLD,PAK,PER,PHL,ROU,RUS,SRB,THA,TUR,UKR,USA,VEN,VNM,ZWE
ARG,,0.05291784559517017,0.09282258557860439,0.04178249639991888,0.032653969352331114,0.05142702324557229,0.025638340320664962,0.09738838638982936,0.03686650326706547,0.043776730985262205,0.06326238439583828,0.06350239017678717,0.052160648759376524,0.05009145441500465,0.04090746340736789,0.08996507406806656,0.06604783137163078,0.05935600605106026,0.036229410754689335,0.060005049062463345,0.09098378282126948,0.05349130927329472,0.049139047775674335,0.04370199379391126,0.032569021355131025,0.03578606709180196,0.04862577744666742,0.04093880091677717,0.06589343949646793,0.060830774367423984,0.05722033355607831,0.08029805037753138,0.03919112379265042,0.02761784578289017,0.013633257534150504,0.05196749691830096,0.06123832784613511,0.01591124806097167,0.04643060261896355,0.027492089152195125,0.09539950226253503,0.04053285391183172
AUS,0.05291784559517017,,0.1059755843152274,0.10011287503292542,0.05670544663495943,0.008658307727628538,0.05283085409366803,0.08019014723497213,0.07891460318830709,0.03397645837210065,0.019369631717935386,0.09016703466088967,0.00833139092853825,0.07256472900188835,0.07850793705791208,0.0974490716249557,0.06116248750676851,0.05339396685678962,0.06481488539230601,0.05268660042348488,0.0643831989365192,0.059900826376206036,0.0660329118056605,0.0549797225964778,0.05383774924159714,0.0889874965588599,0.06805489878942615,0.09246075358842822,0.022834364013433545,0.06644896758719751,0.1188505302161999,0.09173341390451666,0.07419779259073553,0.05519655499108827,0.04818653318694089,0.04867572024315434,0.054392462113702376,0.05343053114437848,0.013744134026282346,0.09527930192311972,0.0955059164124428,0.060456982844483656
BGD,0.09282258557860439,0.1059755843152274,,0.1109604187133366,0.08575340476995041,0.10531319124370563,0.09302228797213488,0.05413372402112951,0.1021907116183033,0.09591170285192165,0.0658665691823947,0.07217280656243394,0.10510136025564573,0.08971777033940799,0.13328345555527982,0.06060259037590846,0.060804930236290966,0.08436315859345977,0.10043974890570902,0.08984593541374081,0.08577651932847062,0.07142193988165728,0.08190943797259177,0.0744396511536588,0.07028234966800284,0.11028001377298731,0.06601643811465055,0.09161811006214647,0.1035622919318185,0.03700732779067925,0.1218290512377096,0.08144914765860987,0.07909669864514014,0.08559499538871211,0.10482439321386744,0.05383171854372994,0.04173660687681945,0.10810465427110018,0.10338093022386127,0.10781982861795786,0.08442562045580902,0.0656140764248037
BOL,0.04178249639991888,0.10011287503292542,0.1109604187133366,,0.03236719942971476,0.10127496158583597,0.038358361633386746,0.12272968692326018,0.008552271085974497,0.07730729868079814,0.11752511768564118,0.08961922398609919,0.1131039591674565,0.07175394882300831,0.028714118048859552,0.07503991604056974,0.08647400272982901,0.08386477355876343,0.05769188733719897,0.08321726798432297,0.11036168035521926,0.0747317996366215,0.05502735227301804,0.06203176548143876,0.032387034087581125,0.010143123678449361,0.047098599367235816,0.006465912601814171,0.12679602306790153,0.06468162039379048,0.020759024009217922,0.09957433642577831,0.03586741247725581,0.04939182140884176,0.042835380945297506,0.07607831121717,0.08761900599172884,0.04240748444803969,0.08466379799507905,0.0207559649165397,0.12706486171642836,0.054852745169792626
BRA,0.032653969352331114,0.05670544663495943,0.08575340476995041,0.03236719942971476,,0.058727418834185786,0.023143904541909684,0.09339579488769816,0.022884149620079005,0.04594372283774086,0.07283752211217676,0.06197213044711441,0.05930801480741128,0.03175245197669464,0.04256059734042571,0.06809156105786991,0.07275389300154465,0.05811855297863774,0.04207209618113283,0.04471651150690271,0.06934716304001867,0.05281969439661165,0.0432265750661819,0.046285344373558565,0.025336603167381552,0.02674756358786529,0.03945399874307543,0.03075197026610509,0.08181426069571072,0.06121413280263261,0.028647492930524543,0.08070569879299307,0.02137775396662116,0.03966515692301946,0.026603841956877948,0.05635885387267051,0.05586079479075807,0.027363840182863364,0.03683403049872448,0.030945706322127606,0.09784825257574196,0.03231647417607169
CAN,0.05142702324557229,0.008658307727628538,0.10531319124370563,0.10127496158583597,0.058727418834185786,,0.04696791946671124,0.08612863735978267,0.08323585665000054,0.02795358451197623,0.030231875844405686,0.109100310344887,0.012246947639305408,0.08322308373108464,0.0784415626075055,0.09789006369118042,0.059618137771166264,0.056732824031395526,0.06725618948684345,0.070661108865718,0.07307545868278421,0.05151000815444685,0.06238271734921084,0.05339558010856298,0.055227958729113805,0.08711405713498421,0.07356222870154899,0.09328937298270668,0.02592459296413514,0.06528953417318249,0.12579518959535493,0.0827149609392898,0.08665820046421602,0.04806676503675915,0.04762028091797378,0.04465106842497299,0.056084631125994225,0.05149220975598856,0.013561493443772573,0.10062134499185084,0.09137381532788262,0.06373974926388001
CHL,0.025638340320664962,0.05283085409366803,0.09302228797213488,0.038358361633386746,0.023143904541909684,0.04696791946671124,,0.09111642522629612,0.033339664986259496,0.036648729515399985,0.06924931383262614,0.09696542603805672,0.061447978157359556,0.053241206509332735,0.04350672002024694,0.0723510454464669,0.07108636715891554,0.06272571303428111,0.042334605887366046,0.0677939319013177,0.07873283379969774,0.04747859675596101,0.04513677370970684,0.03744260479971416,0.02479517608253912,0.027566723894026254,0.051597534303724775,0.04195157542531828,0.07722630849478575,0.05948881904171224,0.05371096874839813,0.06848782607725257,0.04602238569718529,0.031804076962831926,0.025520589686025053,0.05063375435782215,0.05175253338251322,0.02384937377211708,0.04028395273002173,0.044795059296887874,0.0930600270411415,0.04751804574920001
CHN,0.09738838638982936,0.08019014723497213,0.05413372402112951,0.12272968692326018,0.09339579488769816,0.08612863735978267,0.09111642522629612,,0.11628632714944312,0.06745495494149181,0.06731664075512889,0.08497769177077258,0.09988133879788816,0.09695936175571902,0.13178614442648232,0.08303897844187197,0.06594923965697462,0.05861235135146233,0.1017829360128512,0.07251991908630924,0.06143166624405926,0.05838424295926376,0.1014796531760807,0.0651270508437858,0.08943252814329508,0.11774154214222089,0.10289674168221064,0.11311812713817451,0.09927151223090319,0.06836935515396828,0.13125105357512076,0.07647193658049747,0.09307402956168175,0.06635933038216323,0.09580648969233779,0.06085121404034668,0.0485679542176687,0.09566919770810504,0.08924679392614321,0.12409278850588165,0.05667574573172179,0.08607232937448911
COL,0.03686650326706547,0.07891460318830709,0.1021907116183033,0.008552271085974497,0.022884149620079005,0.08323585665000054,0.033339664986259496,0.11628632714944312,,0.07003748564405174,0.09786998058076506,0.07601170513534096,0.08842611618864972,0.057231615466643966,0.021070881009638123,0.06460995646035891,0.0688260082532507,0.06840689316046246,0.043027114324048314,0.06909493843318733,0.09715852433311915,0.07025730917093427,0.03708473752326745,0.055695966748287265,0.022264821962918162,0.011514629576742695,0.036490395214970876,0.006918900548634881,0.10895820361430701,0.05743450593963472,0.024727222487615063,0.08795687432824982,0.028649178887442946,0.04810601464110737,0.03543023231539174,0.05843210003757351,0.07940131960435907,0.03543837770034781,0.06201734915091044,0.02401380097440555,0.11636561818249656,0.037462967316251546
CZE,0.043776730985262205,0.03397645837210065,0.09591170285192165,0.07730729868079814,0.04594372283774086,0.02795358451197623,0.036648729515399985,0.06745495494149181,0.07003748564405174,,0.0430205285328143,0.08730369169139193,0.046639136573382485,0.0602135810520795,0.059999275382394725,0.08792686722633279,0.06545719900089474,0.05057336062666715,0.06522190593737764,0.053245086093374035,0.05186734167544446,0.032868959645704916,0.06137336331209317,0.02037176521164514,0.03600917290658236,0.06290531453620779,0.07212090826085867,0.07542518869157319,0.057700093510770614,0.05990111747905118,0.09451616301204172,0.06775230338276783,0.058951710710188836,0.016967792234240893,0.02734503495094432,0.04684943908688121,0.04667811427232706,0.03084423122107756,0.034966434829967225,0.07109864120829204,0.0714813935557163,0.06791076302251234
