adapter,own_country,rank_of_42,nearest,cd_own
GBR_adapter,GBR,2,CAN,0.17609638539973724
RUS_adapter,RUS,4,SRB,0.11608399133450709
BRA_adapter,BRA,8,CAN,0.11496574653451685
USA_adapter,USA,12,IND,0.31157920365653946
ARG_adapter,ARG,16,CAN,0.19561300485922167
NLD_adapter,NLD,18,CAN,0.22621758205773823
TUR_adapter,TUR,18,CAN,0.1947439133863165
GRC_adapter,GRC,20,SRB,0.14042219672585793
DEU_adapter,DEU,21,CAN,0.14997355536791404
MEX_adapter,MEX,23,CAN,0.16659562090134908
NGA_adapter,NGA,29,CAN,0.1842698172638198
JPN_adapter,JPN,32,CAN,0.1570840772881345
IDN_adapter,IDN,33,CAN,0.22113905584630109
IND_adapter,IND,34,SRB,0.18020334335043098
CHN_adapter,CHN,36,GBR,0.24220264567245017
EGY_adapter,EGY,42,CAN,0.3040814974760488
