gps_dimension,item,rho_vs_gps,n
trust,Q69,0.5449315290495098,42
patience,Q43,-0.5326148610323312,42
negrecip,Q177,0.4540150717121789,42
patience,Q13,0.4134997163925128,42
trust,Q70,0.4076655052264809,42
patience,Q50,0.38805607325176245,42
trust,Q59,0.3653674742727494,42
trust,Q71,0.3402479539745564,42
patience,Q14,0.2738027712503039,42
trust,Q60,0.24569506928314952,42
trust,Q73,0.22599465197309784,42
trust,Q58,0.21853982659427923,42
negrecip,Q179,0.20346811441536344,42
risktaking,Q107,-0.17996920832995708,42
trust,Q61,0.15306701239769874,42
trust,Q57,0.15031196823596144,42
posrecip,Q81,0.10120735758852606,42
negrecip,Q195,0.09731788347783811,42
altruism,Q99,-0.05113037841341869,42
risktaking,Q106,-0.04529616724738676,42
altruism,Q101,0.04156875455797747,42
trust,Q64,0.03929989466007617,42
risktaking,Q178,0.03083623693379791,41
trust,Q63,-0.03006239364719229,42
altruism,Q103,0.022283445425816385,42
posrecip,Q174,-0.018393971315128436,42
risktaking,Q109,-0.015152742889555143,42
posrecip,Q12,0.009156470302244552,42
trust,Q62,0.008022040353293899,42
negrecip,Q176,0.0076979175107365705,42
