bank,model,eval_country,gps_dimension,n_questions,r_mean,delta_tvd_base_to_adapter
co2_8,BRA_adapter,BRA,altruism,3,0.39050018644789064,-0.44579761771442883
co2_8,BRA_adapter,BRA,negrecip,4,0.9245523594354658,0.04029459912022998
co2_8,BRA_adapter,BRA,patience,4,0.9898325823971481,0.03188495303380812
co2_8,BRA_adapter,BRA,posrecip,2,,0.08469012462509024
co2_8,BRA_adapter,BRA,risktaking,4,-0.1730120525661141,0.018021652002474853
co2_8,BRA_adapter,BRA,trust,12,0.7577503057785783,0.035804744062197524
co2_8,EGY_adapter,EGY,altruism,3,0.50566881279893,-0.015873698138901493
co2_8,EGY_adapter,EGY,negrecip,4,0.8722416139795166,0.021849947743848575
co2_8,EGY_adapter,EGY,patience,4,0.9841500382233557,0.026613621035853074
co2_8,EGY_adapter,EGY,posrecip,2,,-0.027700601411361603
co2_8,EGY_adapter,EGY,risktaking,4,-0.7635616029658887,0.0442604830082709
co2_8,EGY_adapter,EGY,trust,9,0.6660175111641704,0.08403000298987695
co2_8,GRC_adapter,GRC,altruism,3,0.2878554977415877,-0.5884903070032895
co2_8,GRC_adapter,GRC,negrecip,4,0.8126282835596152,0.014304153072983272
co2_8,GRC_adapter,GRC,patience,4,0.9897403094830861,-0.1620186747415796
co2_8,GRC_adapter,GRC,posrecip,2,,0.11554287628003262
co2_8,GRC_adapter,GRC,risktaking,4,0.8815851026004042,-0.03222325977132723
co2_8,GRC_adapter,GRC,trust,12,0.6253763194902048,0.0048332247891230695
co2_8,IDN_adapter,IDN,altruism,3,0.9559003495730588,-0.015076810675276775
co2_8,IDN_adapter,IDN,negrecip,4,0.7922193772430058,0.05734382998301807
co2_8,IDN_adapter,IDN,patience,4,0.990811929340641,0.02652059569603238
co2_8,IDN_adapter,IDN,posrecip,2,,0.052913063702185514
co2_8,IDN_adapter,IDN,risktaking,4,-0.8657906695814327,0.044821490325012925
co2_8,IDN_adapter,IDN,trust,12,0.09579609381221994,0.0859811878289704
co2_8,IND_adapter,IND,altruism,3,-0.9999817303222455,0.02307511176555077
co2_8,IND_adapter,IND,negrecip,4,0.8593788033597174,0.08645503257684672
co2_8,IND_adapter,IND,patience,4,0.974978008199597,-0.15000212040016825
co2_8,IND_adapter,IND,posrecip,2,,0.19178879641867747
co2_8,IND_adapter,IND,risktaking,4,0.9029818374274953,-0.1305347184791445
co2_8,IND_adapter,IND,trust,12,0.3121862107455819,0.11113498943395189
co2_8,NGA_adapter,NGA,altruism,3,-0.9930903383130046,0.050217866506515496
co2_8,NGA_adapter,NGA,negrecip,4,0.5407696721134155,0.13800013649969034
co2_8,NGA_adapter,NGA,patience,4,0.9976844324724153,-0.09183587881191524
co2_8,NGA_adapter,NGA,posrecip,2,,-0.048229894096572246
co2_8,NGA_adapter,NGA,risktaking,4,-0.12403970495059889,0.010956694927686916
co2_8,NGA_adapter,NGA,trust,12,0.4994080675002153,-0.07903008545539236
co2_8,NLD_adapter,NLD,altruism,3,0.8682232983734512,0.2696401472637444
co2_8,NLD_adapter,NLD,negrecip,4,0.755143329431157,0.36305395977578686
co2_8,NLD_adapter,NLD,patience,4,0.989906363840131,0.00690143613784211
co2_8,NLD_adapter,NLD,posrecip,2,,0.0002861708138067187
co2_8,NLD_adapter,NLD,risktaking,4,-0.6341671863884882,0.06735214200195278
co2_8,NLD_adapter,NLD,trust,12,0.8428039294985568,0.04187245344381618
co2_8,TUR_adapter,TUR,altruism,3,0.8504075211846487,0.10686891815154276
co2_8,TUR_adapter,TUR,negrecip,4,0.6813362077978503,0.15676835373600617
