bank,model,eval_country,gps_dimension,n_questions,r_mean,delta_tvd_base_to_adapter,gps_z_sign,r_sign,r_aligns
co2_8,BRA_adapter,BRA,altruism,3,0.3905001864478906,-0.4457976177144288,1.0,1.0,True
co2_8,BRA_adapter,BRA,negrecip,4,0.9245523594354658,0.0402945991202299,-1.0,1.0,False
co2_8,BRA_adapter,BRA,patience,4,0.989832582397148,0.0318849530338081,-1.0,1.0,False
co2_8,BRA_adapter,BRA,posrecip,2,,0.0846901246250902,1.0,,False
co2_8,BRA_adapter,BRA,risktaking,4,-0.1730120525661141,0.0180216520024748,-1.0,-1.0,True
co2_8,BRA_adapter,BRA,trust,12,0.7577503057785783,0.0358047440621975,-1.0,1.0,False
co2_8,EGY_adapter,EGY,altruism,3,0.50566881279893,-0.0158736981389014,1.0,1.0,True
co2_8,EGY_adapter,EGY,negrecip,4,0.8722416139795166,0.0218499477438485,1.0,1.0,True
co2_8,EGY_adapter,EGY,patience,4,0.9841500382233556,0.026613621035853,-1.0,1.0,False
co2_8,EGY_adapter,EGY,posrecip,2,,-0.0277006014113616,1.0,,False
co2_8,EGY_adapter,EGY,risktaking,4,-0.7635616029658887,0.0442604830082709,-1.0,-1.0,True
co2_8,EGY_adapter,EGY,trust,9,0.6660175111641704,0.0840300029898769,1.0,1.0,True
co2_8,GRC_adapter,GRC,altruism,3,0.2878554977415877,-0.5884903070032895,-1.0,1.0,False
co2_8,GRC_adapter,GRC,negrecip,4,0.8126282835596152,0.0143041530729832,1.0,1.0,True
co2_8,GRC_adapter,GRC,patience,4,0.989740309483086,-0.1620186747415796,-1.0,1.0,False
co2_8,GRC_adapter,GRC,posrecip,2,,0.1155428762800326,-1.0,,False
co2_8,GRC_adapter,GRC,risktaking,4,0.8815851026004042,-0.0322232597713272,-1.0,1.0,False
co2_8,GRC_adapter,GRC,trust,12,0.6253763194902048,0.004833224789123,-1.0,1.0,False
co2_8,IDN_adapter,IDN,altruism,3,0.9559003495730588,-0.0150768106752767,1.0,1.0,True
co2_8,IDN_adapter,IDN,negrecip,4,0.7922193772430058,0.057343829983018,1.0,1.0,True
co2_8,IDN_adapter,IDN,patience,4,0.990811929340641,0.0265205956960323,-1.0,1.0,False
co2_8,IDN_adapter,IDN,posrecip,2,,0.0529130637021855,1.0,,False
co2_8,IDN_adapter,IDN,risktaking,4,-0.8657906695814327,0.0448214903250129,-1.0,-1.0,True
co2_8,IDN_adapter,IDN,trust,12,0.0957960938122199,0.0859811878289704,1.0,1.0,True
co2_8,IND_adapter,IND,altruism,3,-0.9999817303222456,0.0230751117655507,-1.0,-1.0,True
co2_8,IND_adapter,IND,negrecip,4,0.8593788033597174,0.0864550325768467,1.0,1.0,True
co2_8,IND_adapter,IND,patience,4,0.974978008199597,-0.1500021204001682,-1.0,1.0,False
