model,own_country,own_tvd,mean_cross_tvd,best_cross_tvd,nearest_country,nearest_tvd,delta_own_minus_best,own_rank_of_42
GBR_adapter,GBR,0.4435158975785413,0.5561684209206077,0.4304026149184524,CAN,0.4304026149184524,0.013113282660088932,2
GRC_adapter,GRC,0.37200680120317337,0.42697334652324,0.34592883054813806,JPN,0.34592883054813806,0.02607797065503531,2
USA_adapter,USA,0.507688355690163,0.6075395276349984,0.4902544613779686,CAN,0.4902544613779686,0.017433894312194442,2
NLD_adapter,NLD,0.4800832095705471,0.5609442466616245,0.44646669748038736,CAN,0.44646669748038736,0.033616512090159756,6
DEU_adapter,DEU,0.40455419186481906,0.4596154563025733,0.360397388158624,CAN,0.360397388158624,0.04415680370619507,7
TUR_adapter,TUR,0.4444029975855718,0.4811878540922449,0.35171116718506096,CAN,0.35171116718506096,0.09269183040051082,11
JPN_adapter,JPN,0.391580998106606,0.42008025284352074,0.3456916290365759,USA,0.3456916290365759,0.045889369070030106,12
ARG_adapter,ARG,0.46858525825162006,0.4970768913744803,0.3952025146538702,CAN,0.3952025146538702,0.07338274359774988,15
RUS_adapter,RUS,0.47573941183281315,0.5010942478724704,0.42987623833726807,CAN,0.42987623833726807,0.045863173495545084,15
BRA_adapter,BRA,0.4410945081829885,0.45459895473203304,0.359405156853118,GBR,0.359405156853118,0.08168935132987049,18
CHN_adapter,CHN,0.5225220974669124,0.5229309146850096,0.40436646224125106,NLD,0.40436646224125106,0.1181556352256613,21
NGA_adapter,NGA,0.471121668595042,0.4364185087518561,0.32718626466452105,CAN,0.32718626466452105,0.14393540393052096,28
IDN_adapter,IDN,0.5537699344824409,0.5079478932248135,0.3922556419040632,CAN,0.3922556419040632,0.16151429257837774,31
MEX_adapter,MEX,0.4788910327887371,0.4357905163409549,0.34559677637269637,CAN,0.34559677637269637,0.13329425641604076,31
EGY_adapter,EGY,0.5629834896912675,0.507494463494879,0.39238659553941424,CAN,0.39238659553941424,0.1705968941518533,35
IND_adapter,IND,0.49134811826466984,0.43470142514950416,0.3540725353845638,JPN,0.3540725353845638,0.13727558288010605,40
