model,ARG,AUS,BGD,BOL,BRA,CAN,CHL,CHN,COL,CZE,DEU,EGY,GBR,GRC,GTM,IDN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KOR,MAR,MEX,NGA,NIC,NLD,PAK,PER,PHL,ROU,RUS,SRB,THA,TUR,UKR,USA,VEN,VNM,ZWE
ARG_adapter,0.46858525825162006,0.4290787285214452,0.56873109075027,0.5484737156194129,0.5068592057103362,0.3952025146538702,0.4482276421108005,0.5298031200071927,0.5394208516226289,0.41871862247311215,0.4683590502274761,0.5800670485267155,0.4198557782298694,0.5112975723720515,0.5002336570930971,0.5238395207263689,0.5165974591311637,0.4769788661545196,0.5409450364111595,0.5455361267615797,0.48760306259937314,0.4531844324462143,0.46901764321627215,0.4426126121902128,0.4869096485508365,0.5335759497298349,0.546905385922289,0.5573804582843495,0.4431825689588499,0.5773447497280356,0.5756921865987418,0.4657955277145999,0.5594162306266574,0.46966739112458894,0.49568896306850874,0.4457584063096481,0.48683776111200744,0.4619910954269606,0.4142653120781032,0.5323763039329819,0.46751686484320726,0.5392043847883502
BRA_adapter,0.4151485108926181,0.36850575065449764,0.5326302465842391,0.49242937790735863,0.4410945081829885,0.3594180362054119,0.4052817433906138,0.4860318024907827,0.48060637686836577,0.39664157380012494,0.4035416209189868,0.4906841994934294,0.359405156853118,0.43108894792454383,0.4653753432452014,0.515389250398122,0.5159009321870184,0.4651877992593904,0.5208167350419238,0.49133168954637135,0.41767084277779026,0.42408231978522926,0.49416403846814866,0.4162414042284794,0.4519320106539733,0.500297168518041,0.4961655622779293,0.5021813357031741,0.37593549887282773,0.5432268346676709,0.5144203020172008,0.47657932418085225,0.48314776758072603,0.4415345815086531,0.4313503532915654,0.4357768788145886,0.43625150155160386,0.41019379168427716,0.3663538190043575,0.46637048549950705,0.47425244351573204,0.4850137857489083
CHN_adapter,0.4938051802349911,0.42261057204844144,0.5891786597286708,0.5903697166852474,0.5246726472956267,0.4279190858480895,0.5012934363717282,0.5225220974669124,0.5671471546892942,0.4784536977599283,0.4352736702365792,0.5793297550014552,0.4172327406000855,0.5037634038346115,0.5487266014991167,0.5656207318680261,0.5516268954555218,0.5183079100139977,0.5974710981202833,0.5663416259558863,0.4835103580776749,0.4818280953822917,0.5487511137426765,0.49940611007173835,0.5425146538764187,0.5790301434137,0.5737206979800666,0.5916473101634188,0.40436646224125106,0.5853953385734768,0.6052618512405317,0.5395278438650751,0.5594776480091288,0.5142714304604825,0.5214259400725785,0.47745428671652157,0.48555059963277714,0.48851456095996576,0.4484719098630305,0.5645550251334004,0.5084607937626138,0.5578807455989929
DEU_adapter,0.424006427814432,0.3712883536619622,0.5295515874928123,0.49915365304283826,0.43737372313470047,0.360397388158624,0.4180035922396541,0.48116473675603627,0.507459740497515,0.38467925807334147,0.40455419186481906,0.4987427441520986,0.36162606393840974,0.4442583024319661,0.4842881169357956,0.5186693036281066,0.5220999637447081,0.4632826984902254,0.5295235463630495,0.48933610320534654,0.4141276912745174,0.41763606956207544,0.5071801645043309,0.4141466730762775,0.467572037865448,0.5035141868263362,0.5022142460084549,0.5142664572643734,0.368439017718194,0.5449716450516385,0.5154419499334187,0.47501907550827516,0.4840360890308158,0.4337934210487539,0.44000432957155633,0.43886619344822686,0.4293446731345227,0.4145452305709578,0.37845143092957045,0.49478635726148984,0.4629584401997511,0.49801302485489773
EGY_adapter,0.4908136929566873,0.39877180061436124,0.5867205772938185,0.5703886869718474,0.5103377522014397,0.39238659553941424,0.4853247856607584,0.5074464191740218,0.5511816459543466,0.44680872105379243,0.4312547638634694,0.5629834896912675,0.39799166862369717,0.5031909328009876,0.5314855712840063,0.550771021755748,0.5428142231947826,0.49847732027933606,0.581938676653953,0.5530264764517585,0.4540193270322731,0.4796426413825448,0.5349388676932831,0.46988145145043425,0.5183174352174243,0.5690283888957294,0.5569352842915362,0.5781110009881053,0.39743843343813773,0.5792622181972943,0.5978136662465009,0.5265541498586365,0.560230707889765,0.5016560509724929,0.5117042271027764,0.46165606895646977,0.48692783968148556,0.4762501946315798,0.41087774270666133,0.5553910599053671,0.5007237561605414,0.5487811582627758
GBR_adapter,0.5311084162525815,0.4543609919818723,0.603929044079644,0.6252825775123196,0.5739418880468737,0.4304026149184524,0.5231558342111886,0.5481741372655345,0.6216026335545836,0.46269479130149477,0.4833586602983627,0.6276514999702166,0.4435158975785413,0.5710402154899321,0.5778653274040265,0.5964793934944932,0.577936534742756,0.5441288149706544,0.6159830690262508,0.5924573166383764,0.523363236086889,0.5069927669551049,0.5545295617148418,0.4925594387421055,0.5601503668124077,0.618564120496399,0.6138241762703947,0.6391758359264988,0.4540427298985375,0.6200593322087802,0.650230325800602,0.5506639191136846,0.6214668525759361,0.5275168685308205,0.5554945263472004,0.49494242356964924,0.5257313608440473,0.5146291091637045,0.45972859581025377,0.6132577118540617,0.5237993179215424,0.6206289199418443
GRC_adapter,0.38441223253334394,0.4251392439182448,0.4836035497753509,0.39412101826375556,0.41257563436090794,0.43610622964657253,0.3825493481052606,0.4336424812720888,0.38646343494417623,0.40442671463057506,0.4254372264724675,0.39838766760008554,0.4448351321857063,0.37200680120317337,0.39279189844621604,0.4711121837274703,0.4930925132590038,0.47599978972374896,0.47280694590754346,0.45545191513562094,0.34592883054813806,0.42401916904499515,0.4719328651053209,0.39208020489426026,0.4046725012774926,0.4454401814358222,0.4402640995207361,0.42581247051547294,0.4210273929360372,0.5183706406584794,0.40883021499370426,0.47073107912557827,0.3901196813795927,0.4019572131132631,0.3807821931036872,0.42167020352886975,0.39841863226523533,0.39720198103674914,0.4215158400710466,0.39298683210447144,0.5030222983976772,0.45616752248806813
IDN_adapter,0.4908516884708622,0.3988027424527295,0.5866123719200919,0.5703849011055211,0.5102748414071117,0.3922556419040632,0.4851177100797264,0.5073695283094023,0.5508318180806255,0.44683012690766427,0.43133349645096775,0.573778756767714,0.39799104411896946,0.5031759230452466,0.5312855060717232,0.5537699344824409,0.5424731281780012,0.49836982382226264,0.5818338672343538,0.5530705683284282,0.45412083910309975,0.4795895826127762,0.5346358027977168,0.46964221381514254,0.5179782307423284,0.5688431164558361,0.5565987607132185,0.5778226217146742,0.39744740063730605,0.5789503808513538,0.5978125655895039,0.5265338209014144,0.5601473941168561,0.5016801059095873,0.5117634739493956,0.4613290608981786,0.4868172543006046,0.476284759588069,0.41077805586435,0.5552309635745535,0.500753813485771,0.5484599199401511
IND_adapter,0.3973660753140937,0.4441637992798666,0.4893681647861335,0.3963017303175659,0.4245375073941166,0.4538072716464714,0.391460517593114,0.44052931514544275,0.39173535678768046,0.4184694231128751,0.4426906480402788,0.40743730528989025,0.4629480336443045,0.3783607999232417,0.40354514118992946,0.4790304606528206,0.49134811826466984,0.48798639950360206,0.47968453895580593,0.46935280568221904,0.3540725353845638,0.43842357293399237,0.48322267681880154,0.4008642530812137,0.4114044707443244,0.45195596991970277,0.4503489246709024,0.43017736819503016,0.43817174941837506,0.5273250299448399,0.4111336151539088,0.4822706016868881,0.396521614722311,0.4105725669102115,0.39658090552114195,0.43225287221162273,0.4087984802921601,0.41491439822527637,0.4402677600164066,0.39956421525405567,0.5164948268199173,0.46864472894457054
JPN_adapter,0.37565813108964297,0.3460630455548633,0.4993528423591001,0.4259179184791702,0.408798314354693,0.3506690807713992,0.369461693883398,0.4563194723102154,0.412848863296396,0.38384934135426263,0.38739449282552973,0.44032141153614185,0.355662587790822,0.3991640439656497,0.40441424547686317,0.46692352929485137,0.47194119632264636,0.4364279552996266,0.4765534584952083,0.4636554175847914,0.391580998106606,0.4041663076978364,0.4506485635575428,0.3938364716023165,0.3996985801998831,0.45591233401852516,0.4401084149595256,0.4463604640950845,0.3665997060774072,0.5038071577783829,0.4570116121735933,0.4437755707435961,0.4354915772205024,0.411015603466673,0.3851213001317641,0.39975377826422326,0.4053047546561417,0.3785119058923145,0.3456916290365759,0.4278336795820791,0.48831559883814935,0.45292831454696125
