country,trust,patience,log_gdp_pc,education
ARG,2.4404026800969882,2.1934970419294553,10.231372193040528,2.3732260783033072
AUS,2.577572508157276,2.198296951411658,10.950765384710596,4.169542903760891
BGD,2.6615277777777777,2.5369264273719563,8.708536381028507,1.853211009174312
BOL,1.9948395420093534,2.309951308159322,9.36218808917544,3.3503153808830666
BRA,2.290630728429044,2.1308609981719915,9.794106146036938,2.808285059740543
CAN,2.579170357182091,2.24122869978452,10.943059337905705,4.351838805032666
CHL,2.2890008444759107,2.0602155032484997,10.242886140824782,3.3998637126961606
CHN,2.631796791054951,2.3562639213983,9.729320204057291,2.5593626539910233
COL,2.0551535087719297,2.348684210526316,9.743923792015662,3.1194926568758343
CZE,2.4616200252363107,2.3644198199541284,10.71165066896269,2.9626692413167106
DEU,2.706751745200698,2.4382959851949497,11.027020137518331,4.078688524590164
EGY,4.121388888888889,1.9652265817099694,9.55657013997741,2.5975
GBR,2.65207708470708,2.2712783012114635,10.860603039004323,4.087103831483791
GRC,2.2995337855595097,2.0153740965989124,10.379952071454738,2.9572846550654965
GTM,2.167344724708435,2.4879983726607,9.311501761841768,4.085376162299239
IDN,2.499510422527449,2.2365259217817086,9.375955076412765,2.02160663014962
IND,2.753466538723378,2.3351534931295914,8.863719318140927,3.2824937003272128
IRN,2.617522792973093,2.248234868975641,9.643889077145309,3.9912985274431056
IRQ,2.3922222222222222,1.812061170212766,9.579365684836644,2.847953216374269
JOR,2.6287060127459134,2.01667479093095,9.23481855376239,3.166527893422148
JPN,2.8141167775314115,2.4052941758252038,10.72501771759918,4.380703066566941
KAZ,2.6317267502612327,2.2026211175046457,10.365994172235943,4.792176039119805
KEN,2.4307530279094265,1.840693137062194,8.496426034633567,3.31031746031746
KOR,2.3490629183400267,2.2799196787148595,10.76679706019359,4.118072289156626
MAR,2.2499305555555558,2.29125,9.040042644603147,2.4791666666666665
MEX,2.004297352580964,2.3692935690864254,9.984760332558874,3.1238930965416642
NGA,2.3192856367640777,1.802598239418197,9.04894893088218,2.6688023516477988
NIC,2.0390972222222223,2.397291666666667,8.862047537174757,2.7356130108423686
NLD,3.1167832167832166,2.4126958590758285,11.090175656291336,4.732451678535097
PAK,2.578863826232247,2.4712749194820542,8.521761759496307,2.16214859437751
PER,1.8742933890427114,2.2741937840849578,9.620718711632875,3.389492313596438
PHL,2.681369536143698,2.129990900104722,9.056636714985517,2.219970215075454
ROU,2.3265284807508726,2.3782676490163364,10.394836931175774,3.1032958311014767
RUS,2.5489732303337806,2.157556548467195,10.488321620623646,4.852888139349428
SRB,2.4271032504780115,2.0743177844785157,9.889099892241278,5.1346341463414635
THA,2.7080523182146248,2.3116075185175706,9.907936993050038,2.3156344364748866
TUR,2.5912698412698414,2.1444522311042764,10.226950475773034,2.333748960931006
UKR,2.500096361645143,1.9837063062009646,9.707307470963357,4.892463332074857
USA,2.5117096957404854,2.220786083765794,11.104679404549774,4.582723835888998
VEN,2.054341736694678,1.9871848739495799,,3.1118587047939443
VNM,2.745902777777778,2.522291666666667,9.246619620930822,3.234166666666667
ZWE,2.4,1.6232795266641562,8.549347681547973,2.4525968672712284
