layer,dim,n,rho_gdp,partial_rho_gdp_edu
gps_z,patience,75,0.5839260312944523,
gps_z,risktaking,75,-0.06071123755334281,
gps_z,posrecip,75,0.06984352773826458,
gps_z,negrecip,75,0.21547652916073967,
gps_z,altruism,75,-0.028307254623044096,
gps_z,trust,75,0.32230440967283075,
human_wvs,patience,41,0.09163763066202091,0.1126566086361652
human_wvs,risktaking,41,-0.3449477351916377,-0.4398532172626054
human_wvs,posrecip,41,-0.17404181184668996,0.005028582969044973
human_wvs,negrecip,41,0.4407665505226482,0.3415489892001009
human_wvs,altruism,41,-0.40871080139372834,-0.3756531554456425
human_wvs,trust,41,0.15836236933797912,0.16519433458678984
adapter,patience,16,0.2911764705882353,0.46022499475505313
adapter,risktaking,16,0.34705882352941175,0.3284395497549357
adapter,posrecip,16,0.032352941176470584,0.45631268633518096
adapter,negrecip,16,-0.3205882352941176,-0.48892538379986367
adapter,altruism,16,0.27058823529411763,0.5416367330252949
adapter,trust,16,0.08529411764705883,0.48447262863555474
