model_kind,gps_dimension,n,entropy_err,tvd
adapter,altruism,54,0.054520700977915754,0.4251678654551101
adapter,negrecip,72,-0.5801963815452834,0.48022188176220887
adapter,patience,72,-0.771084703842548,0.660244693941784
adapter,posrecip,53,-0.5832891417990631,0.3422222928397116
adapter,risktaking,72,-0.5798608060906618,0.5948772302770133
adapter,trust,213,-0.5434322606932788,0.4508664882486351
base,altruism,54,0.556900177222761,0.5012223048800782
base,negrecip,72,-0.4683137549369806,0.3946734604716961
base,patience,72,-0.740841384759312,0.6714869976996526
base,posrecip,53,-0.55850912232738,0.33065312997110063
base,risktaking,72,-0.37551133237008566,0.5619137071170094
base,trust,213,-0.4181266453237838,0.388811385934372
