adapter,cfst_rank_of_42,pca_rank_of_42,pca_euclid_own,cfst_own,cfst_nearest
CHN,36,25,3.3346702246948303,0.24220264567245028,GBR
JPN,31,24,2.2565101879843272,0.1518538645715202,CAN
GBR,2,13,1.3812895434378754,0.17609638539973724,CAN
USA,2,30,4.264757176915895,0.17624547730102438,CAN
MEX,24,36,2.873840586612413,0.13743160517429084,CAN
ARG,16,24,2.33499899664209,0.19488736544273758,CAN
DEU,19,21,2.234349119495453,0.14562871584575737,CAN
RUS,4,30,3.303216655748009,0.11608399133450709,SRB
IND,35,28,2.3985126780211274,0.18020334335043098,SRB
IDN,33,34,3.538238592593199,0.22113905584630103,CAN
NGA,29,38,3.2645635829421615,0.18426981726381983,CAN
EGY,41,13,2.272177852832557,0.29299081900149837,CAN
TUR,17,27,2.6053363509903504,0.1947439133863165,CAN
NLD,15,39,4.593299305059604,0.22621758205773826,CAN
BRA,9,2,0.8268231927142785,0.11496574653451688,CAN
GRC,18,22,1.998245428317679,0.1360748119468245,SRB
