model,own_country,own_tvd,own_rank_of_42,nearest
armA_ARG,ARG,0.3255841292782698,18,KEN
armA_BRA,BRA,0.3835487980443098,31,KEN
armA_CHN,CHN,0.40104581225088354,32,KEN
armA_DEU,DEU,0.3881835944105275,38,KEN
armA_EGY,EGY,0.44564109495910714,39,KEN
armA_GBR,GBR,0.3662700813628597,28,KEN
armA_GRC,GRC,0.3719874282178683,35,KEN
armA_IDN,IDN,0.32771179607905243,13,KEN
armA_IND,IND,0.289068283610103,8,KEN
armA_JPN,JPN,0.4117840493716255,42,KEN
armA_MEX,MEX,0.24507688001539285,2,KEN
armA_NGA,NGA,0.29411551156772947,6,KEN
armA_NLD,NLD,0.3775369594007904,37,KEN
armA_RUS,RUS,0.2935679063546163,6,KEN
armA_TUR,TUR,0.346082990255965,27,KEN
armA_USA,USA,0.3468257146127659,20,KEN
armB_ARG,ARG,0.8246876388282541,21,NIC
armB_BRA,BRA,0.7282004250134831,4,NIC
armB_CHN,CHN,0.7370843954364084,9,PAK
armB_DEU,DEU,0.7387842035517619,31,PER
armB_EGY,EGY,0.7323037636420597,6,PAK
armB_GBR,GBR,0.8006642343089592,21,IND
armB_GRC,GRC,0.631258908831713,10,PER
armB_IDN,IDN,0.7313750986566072,6,PAK
armB_IND,IND,0.7051712799164407,31,PER
armB_JPN,JPN,0.6434543708686229,16,PER
armB_MEX,MEX,0.6191634666919932,4,PER
armB_NGA,NGA,0.6644162670067844,15,PER
armB_NLD,NLD,0.6812142823620674,13,JOR
armB_RUS,RUS,0.7118832648017578,23,PER
armB_TUR,TUR,0.6884701891013968,13,JOR
armB_USA,USA,0.8234028654522265,32,PAK
