model,tv_distance,js_divergence,entropy_error,std_error,top_option_match
armA_ARG,0.3259971840740956,0.12893189114425607,0.4976734965289622,0.2908012535181946,0.07407407407407407
armA_BRA,0.3835487980443099,0.1661084807655509,0.5992909174824261,0.13523485504442878,0.37037037037037035
armA_CHN,0.4010458122508836,0.19280624268722488,0.657203045061725,0.4424092416617038,0.2962962962962963
armA_DEU,0.38910547347392077,0.18072266319727448,0.7144264617756226,0.5278874632178392,0.25925925925925924
armA_EGY,0.44842077120625506,0.24603541252355418,0.7553645647186163,0.4904674170512536,0.3333333333333333
armA_GBR,0.36627008136285977,0.15187664396314665,0.5942676106591064,0.46016916751647535,0.15384615384615385
armA_GRC,0.3724033104478841,0.169697836150222,0.6864237140481917,0.5328525616607493,0.37037037037037035
armA_IDN,0.32771179607905254,0.12568081280240867,0.4734855496173295,0.21795996665741962,0.2222222222222222
armA_IND,0.28906828361010306,0.09756443590192607,0.3945897887837462,0.18247104676306913,0.37037037037037035
armA_JPN,0.412718014946682,0.20003960903726697,0.7892571956609091,0.6098268912207083,0.37037037037037035
armA_MEX,0.2450768800153929,0.07345312255066698,0.31296253658882,0.09825170780082801,0.5185185185185185
armA_NGA,0.2941155115677296,0.11087386761557542,0.46841209422057506,0.22112151504216554,0.37037037037037035
armA_NLD,0.37753695940079046,0.16736929605901998,0.6688537960008776,0.5743743783825043,0.3333333333333333
armA_RUS,0.2935679063546164,0.11012458327648694,0.42619838782483466,0.27269642156018814,0.25925925925925924
armA_TUR,0.3460829902559652,0.14138190272866644,0.5898789999438,0.4171301572374887,0.25925925925925924
armA_USA,0.34682571461276596,0.1308630057554814,0.45745478270839113,0.32875497369564327,0.1111111111111111
armB_ARG,0.8311806892420224,0.6997258837277298,-1.802260431543439,-1.3191244384655318,0.07407407407407407
armB_BRA,0.7282004250134831,0.5743059587237677,-1.6941441377916393,-1.4720192887507497,0.37037037037037035
armB_CHN,0.7370843954364084,0.6100480173985408,-1.6040310727353173,-1.150247526052936,0.2962962962962963
armB_DEU,0.7484588626794745,0.6404639391010352,-1.584580578341864,-1.0813345482765013,0.25925925925925924
armB_EGY,0.7323037636420597,0.6213759778408812,-1.5295938178933806,-1.1579766394607525,0.3333333333333333
armB_GBR,0.8006642343089592,0.6737792397435614,-1.7527966526940502,-1.1910268894157328,0.15384615384615385
armB_GRC,0.631258908831713,0.517202687310866,-1.604953095958709,-1.0725452636895016,0.37037037037037035
armB_IDN,0.7313750986566072,0.5794461947838774,-1.8227954207068824,-1.3899805088440562,0.2222222222222222
armB_IND,0.7051712799164406,0.5609694638738003,-1.8975598594681005,-1.4242822788937564,0.37037037037037035
armB_JPN,0.6434543708686229,0.5375071106595443,-1.4880972208160588,-0.989248592414914,0.37037037037037035
armB_MEX,0.6191634666919931,0.46949376056525643,-1.9174114048392648,-1.4783126783267149,0.5185185185185185
armB_NGA,0.6644162670067844,0.5175866692331503,-1.8301392214125305,-1.388140130913841,0.37037037037037035
armB_NLD,0.6812142823620674,0.5749450929571392,-1.6158796679154384,-1.0278478771410438,0.3333333333333333
armB_RUS,0.7118832648017578,0.580382807989312,-1.8760341004000796,-1.338013408052693,0.25925925925925924
armB_TUR,0.6884701891013968,0.5670009907615701,-1.7040480518364352,-1.1899898396764854,0.25925925925925924
armB_USA,0.8234028654522265,0.6861307376010554,-1.83195798805809,-1.2764201432032838,0.1111111111111111
