arm,country,item,dimension,raw,normalized,human_available,tvd
adapter,ARG,Q43,patience,1.9090614694070687,0.45453073470353433,True,0.65692085571211223
adapter_persona,ARG,Q43,patience,1.7025679811377352,0.35128399056886761,True,0.49341865523397999
armA,ARG,Q43,patience,1.8853460103273392,0.44267300516366959,True,0.34628218701511615
armB,ARG,Q43,patience,1,0,True,0.84760943269852529
base,ARG,Q43,patience,1.9772230264275823,0.48861151321379115,True,0.70108274269680682
base_fixed_USA,ARG,Q43,patience,1.9654621002804156,0.48273105014020778,True,0.6799479913616453
persona,ARG,Q43,patience,2.0805450644073575,0.54027253220367877,True,0.55156452586182492
uniform,ARG,Q43,patience,2,0.5,True,0.2906024545572834
human,ARG,Q43,patience,2.4715452205891424,0.73577261029457119,True,0
adapter,ARG,Q50,patience,6.1694434678194217,0.57438260753549131,True,0.60349385276439471
adapter_persona,ARG,Q50,patience,5.5947102988334274,0.51052336653704744,True,0.44108221083429705
armA,ARG,Q50,patience,5.3853460103273392,0.48726066781414878,True,0.21489356543801891
armB,ARG,Q50,patience,1,0,True,0.9163238171601763
base,ARG,Q50,patience,6.2781176192182144,0.58645751324646822,True,0.5851054496615018
base_fixed_USA,ARG,Q50,patience,6.3070745276425102,0.58967494751583449,True,0.59130986792793117
persona,ARG,Q50,patience,5.4205536360070692,0.49117262622300767,True,0.62183573233242084
uniform,ARG,Q50,patience,5.5,0.5,True,0.20910455498565361
human,ARG,Q50,patience,5.8023687366924808,0.53359652629916454,True,0
adapter,ARG,Q57,trust,0.06754669113962912,0.06754669113962912,True,0.13349641538087825
adapter_persona,ARG,Q57,trust,0.0069038377902678029,0.0069038377902678029,True,0.19413926873023957
armA,ARG,Q57,trust,0.39663333445787424,0.39663333445787424,True,0.19559022793736691
armB,ARG,Q57,trust,0,0,True,0.20104310652050736
base,ARG,Q57,trust,0.2689414213699951,0.2689414213699951,True,0.067898314849487745
base_fixed_USA,ARG,Q57,trust,0.24508501313237169,0.24508501313237169,True,0.044041906611864357
persona,ARG,Q57,trust,0.010986942630593102,0.010986942630593102,True,0.19005616388991425
uniform,ARG,Q57,trust,0.5,0.5,True,0.29895689347949261
human,ARG,Q57,trust,0.20104310652050736,0.20104310652050736,True,0
adapter,ARG,Q58,trust,3.7032971056250714,0.9010990352083571,True,0.18500407966213062
adapter_persona,ARG,Q58,trust,3.3933424457517996,0.79778081525059985,True,0.43015923094687858
armA,ARG,Q58,trust,2.3966333344578739,0.4655444448192913,True,0.65074431550073053
armB,ARG,Q58,trust,1,0,True,0.99763756399593895
base,ARG,Q58,trust,3.458967312914293,0.81965577097143105,True,0.41917213727215669
