surface,n_countries,n_items,complete_items,rho,ci_lo,ci_hi
16x9_frozen_human,16,9,True,0.3911764705882353,,
16x9_frozen_adapter,16,9,True,0.7999999999999999,,
42x9_complete,42,9,True,0.3507819463576696,0.08794003988068244,0.5639915769409524
42x9_available,42,9,False,0.3507819463576696,0.08794003988068244,0.5639915769409524
q69q71_complete,41,3,True,0.44738675958188157,0.1523866019090163,0.6681080007518566
12item_complete,41,12,True,0.4297909407665506,0.1374525058362231,0.6411270207045604
42_Q43,42,1,True,-0.5326148610323312,-0.7409459380593372,-0.26579331782353854
42_Q50,42,1,True,0.38805607325176245,0.0946413644242657,0.6279758422642947
42_risktaking_complete,41,4,True,-0.05871080139372824,-0.42911459718819184,0.3123890498881549
42_posrecip_complete,42,1,True,0.05437160683899198,-0.26946742081732,0.386170162315793
42_negrecip_complete,42,4,True,0.4160926991329714,0.1728453273811127,0.5858880979252813
42_altruism_complete,42,3,True,0.03135888501742161,-0.30571517659170094,0.35001860638180454
