country,item,mean,n
ARG,Q57,0.20104310652050736,952
ARG,Q58,3.847613131422373,1001
ARG,Q59,3.003409366855876,990
ARG,Q60,3.0223799697530773,993
ARG,Q61,2.131668976439853,978
ARG,Q62,2.642437579238322,871
ARG,Q63,2.5709515395532496,893
ARG,Q64,2.6653816051799786,983
ARG,Q73,1.8790731252702095,960
ARG,Q43,2.4715452205891424,962
ARG,Q50,5.80236873669248,999
ARG,Q106,5.530000295423342,980
ARG,Q107,6.030527072322216,912
ARG,Q109,4.83049012596195,976
ARG,Q178,3.0999251040381623,987
ARG,Q81,2.8044760432059332,946
ARG,Q176,5.595112721486041,969
ARG,Q177,6.602049509106,977
ARG,Q179,9.236714140457595,983
ARG,Q195,3.2051696660301325,962
ARG,Q99,0.0820079076453626,1003
ARG,Q101,0.1275882922904839,1003
ARG,Q103,0.07763511131695866,1003
ARG,Q69,2.0917386014644506,988
ARG,Q70,1.8425402747977002,988
ARG,Q71,2.0317881111698073,985
AUS,Q57,0.489365433293955,1792
AUS,Q58,3.7351770429343345,1802
AUS,Q59,2.8462507250575886,1793
AUS,Q60,3.34237142565119,1796
AUS,Q61,2.3769190553816415,1792
AUS,Q62,2.751912171118627,1769
AUS,Q63,2.7888899178669178,1775
AUS,Q64,2.1029317991467806,1801
AUS,Q73,2.142061086738463,1790
AUS,Q43,1.8186871892925034,1755
AUS,Q50,6.3171841904995425,1790
AUS,Q106,6.2004919130645355,1789
AUS,Q107,5.047711812783033,1785
AUS,Q109,3.5972663269175356,1792
AUS,Q178,2.47478084199781,1789
AUS,Q81,2.5951472700958753,1778
AUS,Q176,5.8422179995522265,1786
AUS,Q177,9.020300690947922,1796
AUS,Q179,9.491017616615125,1794
AUS,Q195,4.813079785995464,1783
AUS,Q99,0.18559669399495113,1781
AUS,Q101,0.45020699590213636,1782
AUS,Q103,0.2177529388295795,1781
AUS,Q69,3.062605991661972,1796
AUS,Q70,2.6505034847779676,1787
AUS,Q71,2.1567952602858713,1796
BGD,Q57,0.1292743953294412,1199
BGD,Q58,3.9841534612176814,1199
BGD,Q59,3.199332777314429,1199
BGD,Q60,2.818718381112985,1186
BGD,Q61,1.8770903010033444,1196
BGD,Q62,2.1041490262489417,1181
BGD,Q63,1.8221447253705318,1147
BGD,Q64,3.9275,1200
BGD,Q73,3.0077186963979416,1166
BGD,Q43,2.8052057094878253,1191
BGD,Q50,6.994166666666667,1200
BGD,Q106,3.9616666666666664,1200
BGD,Q107,4.980833333333333,1200
BGD,Q109,3.4366666666666665,1200
BGD,Q178,1.8008333333333333,1200
BGD,Q81,2.7249757045675413,1029
BGD,Q176,5.014166666666667,1200
BGD,Q177,8.975833333333334,1200
BGD,Q179,9.445833333333333,1200
BGD,Q195,2.7525,1200
BGD,Q99,0.08951406649616368,1173
BGD,Q101,0.08632478632478632,1170
BGD,Q103,0.21944922547332185,1162
BGD,Q69,2.4308466051969826,1193
BGD,Q70,3.010126582278481,1185
BGD,Q71,3.109519797809604,1187
BOL,Q57,0.08597948216902784,2047
BOL,Q58,3.35188770571152,2066
BOL,Q59,2.1473582161900144,2063
BOL,Q60,2.4657267865824015,2057
BOL,Q61,1.5007270964614638,2063
BOL,Q62,2.0309278350515463,2037
BOL,Q63,1.6815286624203822,2041
BOL,Q64,2.627431906614786,2056
BOL,Q73,1.7158859470468433,1964
BOL,Q43,2.3665180782565627,2019
BOL,Q50,6.4538386783284745,2058
BOL,Q106,6.426514399205561,2014
BOL,Q107,6.4889800102511535,1951
BOL,Q109,5.0549558390579,2038
BOL,Q178,3.962162162162162,2035
