eval_country,base,persona_base,adapter_own,gain_vs_adapter,gain_vs_base
JPN,0.4256,0.3618,0.3916,0.029799999999999993,0.06379999999999997
GBR,0.3643,0.3542,0.4435,0.08929999999999999,0.010099999999999998
USA,0.3619,0.3651,0.5077,0.14260000000000006,-0.0031999999999999806
MEX,0.5081,0.4152,0.4789,0.06369999999999998,0.09289999999999998
ARG,0.4361,0.3196,0.4686,0.14900000000000002,0.11649999999999999
DEU,0.4021,0.3628,0.4046,0.041800000000000004,0.0393
RUS,0.4396,0.3106,0.4757,0.16510000000000002,0.129
IND,0.467,0.4281,0.4913,0.06320000000000003,0.038900000000000046
IDN,0.4916,0.4385,0.5538,0.11529999999999996,0.05309999999999998
NGA,0.4953,0.4025,0.4711,0.0686,0.0928
EGY,0.5123,0.36,0.563,0.20299999999999996,0.1523
TUR,0.4256,0.3518,0.4444,0.09260000000000002,0.07379999999999998
NLD,0.3768,0.368,0.4801,0.11210000000000003,0.00880000000000003
BRA,0.4561,0.4066,0.4411,0.034499999999999975,0.04949999999999999
GRC,0.4543,0.3751,0.372,-0.0030999999999999917,0.07919999999999999
