eval_country,base,persona_base,CHN_adapter,JPN_adapter,GBR_adapter,USA_adapter,MEX_adapter,ARG_adapter,DEU_adapter,RUS_adapter,IND_adapter,IDN_adapter,NGA_adapter,EGY_adapter,TUR_adapter,NLD_adapter,BRA_adapter,GRC_adapter,adapter_own
CHN,0.4825,0.3802,0.5225,,,,,,,,,,,,,,,,0.5225
JPN,0.4256,0.3618,,0.3916,,,,,,,,,,,,,,,0.3916
GBR,0.3643,0.3542,,,0.4435,,,,,,,,,,,,,,0.4435
USA,0.3619,0.3651,,,,0.5077,,,,,,,,,,,,,0.5077
MEX,0.5081,0.4152,,,,,0.4789,,,,,,,,,,,,0.4789
ARG,0.4361,0.3196,,,,,,0.4686,,,,,,,,,,,0.4686
DEU,0.4021,0.3628,,,,,,,0.4046,,,,,,,,,,0.4046
RUS,0.4396,0.3106,,,,,,,,0.4757,,,,,,,,,0.4757
IND,0.467,0.4281,,,,,,,,,0.4913,,,,,,,,0.4913
IDN,0.4916,0.4385,,,,,,,,,,0.5538,,,,,,,0.5538
NGA,0.4953,0.4025,,,,,,,,,,,0.4711,,,,,,0.4711
EGY,0.5123,0.36,,,,,,,,,,,,0.563,,,,,0.563
TUR,0.4256,0.3518,,,,,,,,,,,,,0.4444,,,,0.4444
NLD,0.3768,0.368,,,,,,,,,,,,,,0.4801,,,0.4801
BRA,0.4561,0.4066,,,,,,,,,,,,,,,0.4411,,0.4411
GRC,0.4543,0.3751,,,,,,,,,,,,,,,,0.372,0.372
