model,bank,accuracy,wilson_lo,wilson_hi,n
ARG,base8,0.9318181818181818,0.8754946530666444,0.9637180770543198,132
CHN,base8,0.946969696969697,0.8945808779221942,0.974077912904769,132
DEU,base8,0.9242424242424242,0.8661573143115245,0.9583323854564404,132
GBR,base8,0.9318181818181818,0.8754946530666444,0.9637180770543198,132
JPN,base8,0.946969696969697,0.8945808779221942,0.974077912904769,132
MEX,base8,0.9621212121212122,0.9143907904747873,0.9837140610581746,132
RUS,base8,0.9696969696969697,0.9246737507380807,0.9881541311478805,132
USA,base8,0.9924242424242424,0.9583354998483034,0.9986614730966561,132
NGA,co2_8,0.977,0.935,0.992,132
TUR,co2_8,0.955,0.905,0.979,132
IND,co2_8,0.947,0.895,0.974,132
GRC,co2_8,0.947,0.895,0.974,132
BRA,co2_8,0.939,0.884,0.969,132
NLD,co2_8,0.932,0.876,0.964,132
IDN,co2_8,0.886,0.821,0.93,132
EGY,co2_8,0.886,0.821,0.93,132
