T,eval_country,tv_distance,entropy_error,std_error,mean_error,top_option_match,js_divergence
1.0,ARG,0.4686,-0.6332,-0.6099,0.3547,0.4667,0.2787
1.0,BRA,0.4411,-0.8576,-0.9325,0.1475,0.5333,0.2736
1.0,CHN,0.5225,-0.8502,-0.6459,0.1934,0.5,0.3427
1.0,DEU,0.4046,-0.7118,-0.5518,0.3708,0.5667,0.2439
1.0,EGY,0.563,-0.5973,-0.5825,0.2722,0.3333,0.3666
1.0,GBR,0.4435,-0.7632,-0.5956,0.4094,0.4483,0.2629
1.0,GRC,0.372,-0.6291,-0.4512,0.4185,0.5,0.1978
1.0,IDN,0.5538,-0.8929,-0.8263,0.1633,0.4,0.3513
1.0,IND,0.4913,-0.9323,-0.8005,0.2035,0.4333,0.2881
1.0,JPN,0.3916,-0.4736,-0.364,0.2781,0.5667,0.207
1.0,MEX,0.4789,-0.9282,-0.8192,-0.1554,0.3667,0.2856
1.0,NGA,0.4711,-0.4399,-0.5958,0.5197,0.3333,0.2718
1.0,NLD,0.4801,-0.562,-0.4635,0.6248,0.5,0.2802
1.0,RUS,0.4757,-1.1919,-0.8832,-0.0835,0.5,0.281
1.0,TUR,0.4444,-0.4225,-0.445,0.5087,0.4333,0.2465
1.0,USA,0.5077,-0.8867,-0.7814,0.549,0.3333,0.302
1.25,ARG,0.4378,-0.4625,-0.5265,0.3556,0.4667,0.2475
1.25,BRA,0.4223,-0.7075,-0.832,0.1487,0.5333,0.2484
1.25,CHN,0.5019,-0.7181,-0.5647,0.2028,0.5,0.316
1.25,DEU,0.382,-0.5183,-0.4419,0.4099,0.5667,0.2159
1.25,EGY,0.5372,-0.4482,-0.4739,0.267,0.3333,0.3353
1.25,GBR,0.42,-0.5902,-0.5069,0.4289,0.4483,0.2335
1.25,GRC,0.341,-0.4344,-0.3246,0.4256,0.5,0.1638
1.25,IDN,0.526,-0.7418,-0.7228,0.158,0.4,0.3152
1.25,IND,0.4512,-0.7393,-0.6762,0.2091,0.4333,0.2441
1.25,JPN,0.3694,-0.2827,-0.2445,0.3049,0.5667,0.1833
1.25,MEX,0.4407,-0.7248,-0.7046,-0.13,0.3667,0.245
