T,scale_family,tv_distance,entropy_error,std_error,mean_error,top_option_match,js_divergence
1.0,binary,0.2382,-0.3953,-0.1873,0.0831,0.6809,0.1136
1.0,ordered_single,0.4941,-0.774,-0.6977,0.3219,0.4266,0.2976
1.25,binary,0.2214,-0.3446,-0.1569,0.0762,0.6809,0.0989
1.25,ordered_single,0.4629,-0.5887,-0.5877,0.3328,0.4266,0.2628
1.5,binary,0.2054,-0.2951,-0.1296,0.0681,0.6809,0.0859
1.5,ordered_single,0.4366,-0.428,-0.4909,0.344,0.4266,0.2349
2.0,binary,0.1772,-0.2048,-0.0848,0.0501,0.6809,0.0652
2.0,ordered_single,0.3955,-0.1728,-0.3338,0.3674,0.4266,0.1956
3.0,binary,0.1444,-0.0726,-0.0274,0.0154,0.6809,0.0419
3.0,ordered_single,0.3526,0.1401,-0.1307,0.4086,0.4266,0.1571
