eval_country,pop_fam_minus_out,adp_fam_minus_out,adp_contrast_smaller
ARG,-1.2110878309843898,-0.7274058582880425,True
BRA,-1.0976310434555667,-0.4474209707420509,True
CHN,-1.4765597890828828,-0.6070657142574776,True
DEU,-1.108479639055325,-0.11273213403926863,True
EGY,-1.6036281392857852,-0.47408490801815817,True
GBR,-0.8105688147007761,-0.490362286109995,True
GRC,-1.7520033232824612,-0.25397249481402717,True
IDN,-1.504933649397206,-0.47352885029816894,True
IND,-1.333977214985255,-0.2502941599380457,True
JPN,-1.3798638225533495,-0.2199961866722122,True
MEX,-1.5036977092886548,-0.08744580290822546,True
NGA,-1.1030075769216408,-0.49193766617847645,True
NLD,-0.7307730097364793,-0.25996312714235126,True
RUS,-1.4112024971356056,-0.18445000830739144,True
TUR,-1.4364285145389233,-0.4053050923876964,True
USA,-0.736879993963022,0.0397719483254344,True
