eval_country,model,question_id,trust_class,question_text,tv_distance,mean_error,abs_mean_error,model_mean,population_mean
CHN,CHN_adapter,Q58,family,"How much do you trust your family: completely, somewhat, not very much or not at all?",0.0065949863420502,-0.0071743787070264,0.0071743787070264,1.1480732122886224,1.1552475909956488
CHN,CHN_adapter,Q59,ingroup,"How much do you trust your neighborhood: completely, somewhat, not very much or not at all?",0.3136276002369023,-0.0130385537482964,0.0130385537482964,1.9978752702816216,2.010913824029918
CHN,CHN_adapter,Q60,ingroup,"How much do you trust people you know personally: completely, somewhat, not very much or not at all?",0.220444657732374,-0.0202078509614116,0.0202078509614116,1.962760852267338,1.9829687032287495
CHN,CHN_adapter,Q64,institutions,"How much confidence do you have in the churches: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.560762758188624,-0.810325541838699,0.810325541838699,2.204142279934434,3.014467821773133
CHN,CHN_adapter,Q69,institutions,"How much confidence do you have in the police: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.3236960925354397,0.0680593661927171,0.0680593661927171,1.9521254361999416,1.8840660700072245
CHN,CHN_adapter,Q70,institutions,"How much confidence do you have in the courts: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.3551489233652304,0.1395981735735596,0.1395981735735596,2.004291351193278,1.8646931776197184
CHN,CHN_adapter,Q71,institutions,"How much confidence do you have in the government: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.8078634947061117,1.2716371826737158,1.2716371826737158,2.851661452248748,1.580024269575032
CHN,CHN_adapter,Q73,institutions,"How much confidence do you have in parliament: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.6138970083704778,0.9801974310084074,0.9801974310084074,2.677624445714844,1.6974270147064363
CHN,CHN_adapter,Q57,outgroup,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?",0.3582777943719486,-0.3582777943719488,0.3582777943719488,1.0019267346633274,1.3602045290352762
CHN,CHN_adapter,Q61,outgroup,"How much do you trust people you meet for the first time: completely, somewhat, not very much or not at all?",0.8542828029264508,-1.029521876401541,1.029521876401541,2.020157591891182,3.049679468292723
CHN,CHN_adapter,Q62,outgroup,"How much do you trust people of another religion: completely, somewhat, not very much or not at all?",0.8013503594576409,-1.0297936283426994,1.0297936283426994,1.9985929141199947,3.028386542462694
CHN,CHN_adapter,Q63,outgroup,"How much do you trust people of another nationality:  completely, somewhat, not very much or not at all?",0.8351928656058558,-1.089080515013538,1.089080515013538,1.9998784655098956,3.0889589805234334
JPN,JPN_adapter,Q58,family,"How much do you trust your family: completely, somewhat, not very much or not at all?",0.6046719193230838,0.6903912317203638,0.6903912317203638,1.991740557057695,1.3013493253373312
JPN,JPN_adapter,Q59,ingroup,"How much do you trust your neighborhood: completely, somewhat, not very much or not at all?",0.0869625841259487,-0.0532750452329047,0.0532750452329047,2.300509815324864,2.3537848605577687
JPN,JPN_adapter,Q60,ingroup,"How much do you trust people you know personally: completely, somewhat, not very much or not at all?",0.11384287981792,0.068267601323567,0.068267601323567,2.0888940337147055,2.0206264323911385
JPN,JPN_adapter,Q64,institutions,"How much confidence do you have in the churches: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.3945063124643699,-0.6086007856986169,0.6086007856986169,2.73806588096805,3.3466666666666667
JPN,JPN_adapter,Q69,institutions,"How much confidence do you have in the police: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.5302015686344491,0.6511366520198534,0.6511366520198534,2.6849048791879273,2.033768227168074
JPN,JPN_adapter,Q70,institutions,"How much confidence do you have in the courts: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.5697140067616108,0.7291292076154372,0.7291292076154372,2.6909798569660865,1.9618506493506491
JPN,JPN_adapter,Q71,institutions,"How much confidence do you have in the government: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.4614864963268644,0.2928412543535743,0.2928412543535743,2.9340319220929145,2.64119066773934
JPN,JPN_adapter,Q73,institutions,"How much confidence do you have in parliament: a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",0.3030360858651164,0.0873544457425201,0.0873544457425201,2.849534462257797,2.762180016515277
JPN,JPN_adapter,Q57,outgroup,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?",0.3554191183185798,0.3554191183185797,0.3554191183185797,1.9994472213630765,1.6440281030444963
JPN,JPN_adapter,Q61,outgroup,"How much do you trust people you meet for the first time: completely, somewhat, not very much or not at all?",0.3085349211969291,-0.5697150144748968,0.5697150144748968,2.5628261189803134,3.1325411334552102
JPN,JPN_adapter,Q62,outgroup,"How much do you trust people of another religion: completely, somewhat, not very much or not at all?",0.6624403795550738,-0.9376116460705904,0.9376116460705904,2.113235811556528,3.0508474576271185
JPN,JPN_adapter,Q63,outgroup,"How much do you trust people of another nationality:  completely, somewhat, not very much or not at all?",0.5541988134902149,-0.7259980744161876,0.7259980744161876,2.17143782301971,2.897435897435898
