signkey,n,members,mean_intra_gps_euclid,max_abs_z_gap,max_gap_dim
-1-1-1-1-1-1,5,"GTM,MEX,ROU,RUS,RWA",2.3983331298624955,0.9730494022369385,posrecip
-11-11-1-1,5,"HTI,NGA,PAK,PER,TZA",2.024878816580885,0.8640124201774597,posrecip
-1-11-11-1,4,"BRA,CMR,GEO,MAR",1.9860053981479784,0.5282270312309265,trust
1-1-11-1-1,4,"CZE,FRA,JPN,POL",2.0942970247695727,0.7649058699607849,altruism
111111,4,"AUS,CAN,SUR,USA",1.445829945958163,0.8045426607131958,patience
-1-1-11-1-1,3,"GRC,IND,LTU",2.138682961617372,0.5571410655975342,altruism
-1-11-1-1-1,3,"KHM,SRB,UKR",1.0331980032990993,0.27502116560935974,risktaking
-1-11-111,3,"COL,JOR,PRT",2.181591587952407,0.7472600936889648,risktaking
-11-1-1-1-1,3,"KEN,UGA,ZWE",1.4181241749004325,0.36060845851898193,risktaking
-111-11-1,3,"ARG,CRI,LKA",1.4894957897429473,0.48424971103668213,altruism
-111111,3,"AFG,ARE,IRN",1.7176951552719164,0.4777369499206543,posrecip
11-11-1-1,3,"DZA,ISR,ZAF",2.8067966914476643,0.8242324590682983,posrecip
-1-1-1-1-11,2,"HUN,NIC",2.619403125812553,0.5091767311096191,trust
-1-11111,2,"EGY,IDN",2.400101171677184,0.531219482421875,altruism
-11-11-11,2,"IRQ,TUR",2.045677894876533,0.4223158657550812,negrecip
-111-1-1-1,2,"CHL,MWI",2.114362887037221,0.39022180438041687,trust
-111-111,2,"KAZ,VEN",0.8280882145985404,0.25982344150543213,posrecip
1-1-1-1-11,2,"EST,VNM",1.7255869337764353,0.40777379274368286,altruism
1-11-1-11,2,"AUT,FIN",1.0544240866901968,0.22093099355697632,risktaking
1-1111-1,2,"BGD,ITA",1.8664562928016704,0.5605517029762268,altruism
1-11111,2,"CHN,MDA",2.9591653000475304,0.5516301393508911,trust
11-11-11,2,"NLD,SAU",2.962349384007972,0.751585841178894,patience
