signkey,wvs_members,n_wvs,n_full_class,mean_cfst
-1-11-1-1-1,"SRB,UKR",2,3,0.0092624219132207
111111,"AUS,CAN,USA",3,4,0.011987978399227767
-11-1-1-1-1,"KEN,ZWE",2,3,0.023206300053973
-1-11-11-1,"BRA,MAR",2,4,0.0253366031673815
-1-1-1-1-1-1,"GTM,MEX,ROU,RUS",4,5,0.0367170174137703
1-1-11-1-1,"CZE,JPN",2,4,0.0518673416754444
-11-11-1-1,"NGA,PAK,PER",3,5,0.056094148888288335
-11-11-11,"IRQ,TUR",2,2,0.0677390354430251
-1-11-111,"COL,JOR",2,3,0.0690949384331873
-111-111,"KAZ,VEN",2,2,0.0719051428619837
-1-1-11-1-1,"GRC,IND",2,3,0.0766225581757276
-1-11111,"EGY,IDN",2,2,0.1020740435059988
