model,gps_dimension,rho,n
adapter,altruism,0.2352941176470588,16
adapter,negrecip,0.06176470588235294,16
adapter,patience,0.4205882352941176,16
adapter,posrecip,0.4794117647058824,16
adapter,risktaking,0.5735294117647058,16
adapter,trust,0.7823529411764706,16
base,altruism,,16
base,negrecip,,16
base,patience,,16
base,posrecip,,16
base,risktaking,,16
base,trust,,16
human,altruism,0.03135888501742161,42
human,negrecip,0.4160926991329714,42
human,patience,0.32420387326796857,42
human,posrecip,-0.004942873348999271,42
human,risktaking,-0.07592577586905438,42
human,trust,0.40912405801798885,42
noise,altruism,,16
noise,negrecip,,16
noise,patience,,16
noise,posrecip,,16
noise,risktaking,,16
noise,trust,,16
persona,altruism,-0.22647058823529412,16
persona,negrecip,0.34411764705882353,16
persona,patience,0.5970588235294118,16
persona,posrecip,0.011764705882352941,16
persona,risktaking,-0.11470588235294117,16
persona,trust,0.06470588235294117,16
