model,gps_dimension,rho_gdp,n,partial_rho_gdp_edu,rho_gini
adapter,altruism,0.27058823529411763,16,0.5416367330252947,-0.1357142857142857
adapter,negrecip,-0.3205882352941176,16,-0.4889253837998637,-0.1964285714285714
adapter,patience,0.2911764705882353,16,0.4602249947550531,-0.2821428571428571
adapter,posrecip,0.032352941176470584,16,0.456312686335181,-0.0035714285714285704
adapter,risktaking,0.34705882352941175,16,0.3284395497549359,-0.28928571428571426
adapter,trust,0.1323529411764706,16,0.5599249190513029,0.014285714285714282
base,altruism,,16,,
base,negrecip,,16,,
base,patience,,16,,
base,posrecip,,16,,
base,risktaking,,16,,
base,trust,,16,,
human,altruism,-0.40871080139372834,41,-0.37565315544564243,0.3232719386035323
human,negrecip,0.41637630662020914,41,0.333554145357758,-0.49779396438342893
human,patience,0.09216027874564463,41,0.11281845057194086,-0.294698509021591
human,posrecip,-0.22264808362369345,41,0.012424940620698328,-0.11485398165290142
human,risktaking,-0.3449477351916377,41,-0.43985321726260534,0.11443378415904934
human,trust,0.08536585365853659,41,0.12197145307873815,-0.396386302533794
noise,altruism,,16,,
noise,negrecip,,16,,
noise,patience,,16,,
noise,posrecip,,16,,
noise,risktaking,,16,,
noise,trust,,16,,
persona,altruism,0.4970588235294117,16,0.3655403240798726,-0.11785714285714284
persona,negrecip,-0.5911764705882353,16,-0.578258679944511,0.07857142857142857
persona,patience,0.3323529411764706,16,0.2854616871802755,-0.12857142857142856
persona,posrecip,0.6294117647058822,16,0.49026641134545246,-0.47142857142857136
persona,risktaking,-0.6205882352941177,16,-0.5904622057339118,0.2071428571428571
persona,trust,0.7323529411764707,16,0.6311073397341329,-0.4678571428571427
