model,gps_dimension,top_option_match
ARG_adapter,altruism,0.0
ARG_adapter,negrecip,0.5
ARG_adapter,patience,0.0
ARG_adapter,posrecip,1.0
ARG_adapter,risktaking,0.5
ARG_adapter,trust,0.667
BRA_adapter,altruism,1.0
BRA_adapter,negrecip,0.5
BRA_adapter,patience,0.0
BRA_adapter,posrecip,1.0
BRA_adapter,risktaking,0.0
BRA_adapter,trust,0.667
CHN_adapter,altruism,0.333
CHN_adapter,negrecip,0.75
CHN_adapter,patience,0.0
CHN_adapter,posrecip,1.0
CHN_adapter,risktaking,0.5
CHN_adapter,trust,0.5
DEU_adapter,altruism,1.0
DEU_adapter,negrecip,0.5
DEU_adapter,patience,0.0
DEU_adapter,posrecip,0.5
DEU_adapter,risktaking,0.25
DEU_adapter,trust,0.75
EGY_adapter,altruism,0.333
EGY_adapter,negrecip,0.5
EGY_adapter,patience,0.0
EGY_adapter,posrecip,0.5
EGY_adapter,risktaking,0.0
EGY_adapter,trust,0.444
GBR_adapter,altruism,0.0
GBR_adapter,negrecip,0.5
GBR_adapter,patience,0.5
GBR_adapter,posrecip,1.0
GBR_adapter,risktaking,0.0
GBR_adapter,trust,0.667
GRC_adapter,altruism,1.0
GRC_adapter,negrecip,0.5
GRC_adapter,patience,0.5
GRC_adapter,posrecip,0.5
GRC_adapter,risktaking,0.75
GRC_adapter,trust,0.417
IDN_adapter,altruism,0.333
IDN_adapter,negrecip,0.5
IDN_adapter,patience,0.0
IDN_adapter,posrecip,1.0
IDN_adapter,risktaking,0.0
IDN_adapter,trust,0.5
IND_adapter,altruism,1.0
IND_adapter,negrecip,0.5
IND_adapter,patience,0.5
IND_adapter,posrecip,0.5
IND_adapter,risktaking,0.25
IND_adapter,trust,0.333
JPN_adapter,altruism,1.0
JPN_adapter,negrecip,0.75
JPN_adapter,patience,0.0
JPN_adapter,posrecip,0.5
JPN_adapter,risktaking,0.75
JPN_adapter,trust,0.583
MEX_adapter,altruism,1.0
MEX_adapter,negrecip,0.75
MEX_adapter,patience,0.0
MEX_adapter,posrecip,1.0
MEX_adapter,risktaking,0.25
MEX_adapter,trust,0.167
NGA_adapter,altruism,0.333
NGA_adapter,negrecip,0.25
NGA_adapter,patience,0.0
NGA_adapter,posrecip,1.0
NGA_adapter,risktaking,0.0
NGA_adapter,trust,0.417
NLD_adapter,altruism,0.0
NLD_adapter,negrecip,0.25
NLD_adapter,patience,0.0
NLD_adapter,posrecip,1.0
NLD_adapter,risktaking,0.5
NLD_adapter,trust,0.667
RUS_adapter,altruism,1.0
RUS_adapter,negrecip,0.75
RUS_adapter,patience,0.0
RUS_adapter,posrecip,0.5
RUS_adapter,risktaking,0.5
RUS_adapter,trust,0.417
TUR_adapter,altruism,0.333
TUR_adapter,negrecip,0.5
TUR_adapter,patience,0.5
TUR_adapter,posrecip,0.5
TUR_adapter,risktaking,0.25
TUR_adapter,trust,0.583
USA_adapter,altruism,0.0
USA_adapter,negrecip,0.0
USA_adapter,patience,0.5
USA_adapter,posrecip,1.0
USA_adapter,risktaking,0.0
USA_adapter,trust,0.583
base,altruism,0.333
base,negrecip,0.625
base,patience,0.031
base,posrecip,0.871
base,risktaking,0.266
base,trust,0.524
noise,altruism,1.0
noise,negrecip,0.766
noise,patience,0.125
noise,posrecip,0.097
noise,risktaking,0.484
noise,trust,0.148
persona,altruism,0.812
persona,negrecip,0.641
persona,patience,0.031
persona,posrecip,0.871
persona,risktaking,0.078
persona,trust,0.566
