model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
ARG_adapter,ARG,Q101,3,0.844265357409059,0.6533244680972679,0.37302933992966203,0.14629934294132774,1.6031472781811524,0.0
ARG_adapter,ARG,Q103,3,0.6957614851642419,0.43694137820401996,1.0121812131798882,0.525864754179385,1.2572102113387755,0.0
ARG_adapter,ARG,Q106,10,0.6345330602006181,0.40575530071600574,-1.7094095130953741,-2.0839582226192075,-0.12189417461202989,0.0
ARG_adapter,ARG,Q107,10,0.4269746970895112,0.1930136339366721,-0.9265829884522612,-1.1945733940580385,-0.8615336412225298,1.0
ARG_adapter,ARG,Q109,10,0.5402283250114118,0.30074018973006483,-1.415997861303172,-1.793482236575121,0.24520399857798125,1.0
ARG_adapter,ARG,Q174,2,0.13781878245708332,0.06286108123889485,-0.5496008832529563,-0.28353275534261396,0.13781878245708334,1.0
ARG_adapter,ARG,Q176,10,0.44558024815566133,0.23090016609247424,-1.0960180064762963,-1.68173649981055,0.33683950847377186,0.0
ARG_adapter,ARG,Q177,10,0.17990374950494453,0.0781968923128958,-0.19678426980112684,-0.7322339913113054,-0.7925821789095222,1.0
ARG_adapter,ARG,Q178,10,0.6201235395099006,0.40748785627324513,-0.1418983595203649,-1.279185609246887,2.8275515867781578,0.0
ARG_adapter,ARG,Q179,10,0.4262129185295024,0.16524265369597205,1.296701094137042,0.7475230503227088,1.9150578308629076,1.0
ARG_adapter,ARG,Q195,10,0.6639933492467099,0.4562687273821444,-0.22503071502459804,-1.798579124752869,2.3978802098457357,0.0
ARG_adapter,ARG,Q260,2,0.021294649209765898,0.0003272769404259199,0.0013088108340848503,0.0004536678995300525,-0.02129464920976587,0.0
ARG_adapter,ARG,Q275,9,0.9410611220231162,0.831070614276558,-1.7384513224306857,-1.0638235582089592,3.65162667121514,0.0
ARG_adapter,ARG,Q288,10,0.46414457578772106,0.23358007908194794,-1.1402069009776683,-0.8706125696655905,0.9527629508250941,0.0
