model,eval_country,tvd,entropy_err,std_err,top_match
ARG_adapter,ARG,0.4686,-0.6332,-0.6099,0.4667
BRA_adapter,BRA,0.4411,-0.8576,-0.9325,0.5333
CHN_adapter,CHN,0.5225,-0.8502,-0.6459,0.5
DEU_adapter,DEU,0.4046,-0.7118,-0.5518,0.5667
EGY_adapter,EGY,0.563,-0.5973,-0.5825,0.3333
GBR_adapter,GBR,0.4435,-0.7632,-0.5956,0.4483
GRC_adapter,GRC,0.372,-0.6291,-0.4512,0.5
IDN_adapter,IDN,0.5538,-0.8929,-0.8263,0.4
IND_adapter,IND,0.4913,-0.9323,-0.8005,0.4333
JPN_adapter,JPN,0.3916,-0.4736,-0.364,0.5667
MEX_adapter,MEX,0.4789,-0.9282,-0.8192,0.3667
NGA_adapter,NGA,0.4711,-0.4399,-0.5958,0.3333
NLD_adapter,NLD,0.4801,-0.562,-0.4635,0.5
RUS_adapter,RUS,0.4757,-1.1919,-0.8832,0.5
TUR_adapter,TUR,0.4444,-0.4225,-0.445,0.4333
USA_adapter,USA,0.5077,-0.8867,-0.7814,0.3333
base,ARG,0.4361,-0.6145,-0.5834,0.5
base,BRA,0.4561,-0.4984,-0.7325,0.4667
base,CHN,0.4825,-0.4355,-0.4482,0.4333
base,DEU,0.4021,-0.4242,-0.3827,0.5
base,EGY,0.5123,-0.3297,-0.4145,0.3333
base,GBR,0.3643,-0.5485,-0.4787,0.5172
base,GRC,0.4543,-0.4239,-0.3689,0.4667
base,IDN,0.4916,-0.6282,-0.6665,0.4
base,IND,0.467,-0.7098,-0.7214,0.3
base,JPN,0.4256,-0.3422,-0.3223,0.5
base,MEX,0.5081,-0.7339,-0.7579,0.3333
base,NGA,0.4953,-0.6305,-0.6603,0.3333
base,NLD,0.3768,-0.4548,-0.3563,0.6
base,RUS,0.4396,-0.6924,-0.6225,0.5
base,TUR,0.4256,-0.5061,-0.4731,0.4333
base,USA,0.3619,-0.6484,-0.5553,0.6
noise,ARG,0.3192,0.4994,0.635,0.2812
noise,BRA,0.351,0.5892,0.6044,0.375
noise,CHN,0.3749,0.682,1.0224,0.3438
noise,DEU,0.3625,0.6681,0.8435,0.3438
noise,EGY,0.3972,0.7913,1.2295,0.4138
noise,GBR,0.3341,0.5554,0.7459,0.3226
noise,GRC,0.3677,0.652,0.871,0.25
noise,IDN,0.3142,0.482,0.8302,0.3438
noise,IND,0.2841,0.4033,0.6822,0.4062
noise,JPN,0.3996,0.7484,0.9084,0.25
noise,MEX,0.2874,0.3823,0.5895,0.3438
noise,NGA,0.3084,0.5208,1.0657,0.375
noise,NLD,0.3592,0.6274,1.0041,0.3438
noise,RUS,0.2913,0.4221,0.6654,0.25
noise,TUR,0.3482,0.632,1.1258,0.3438
noise,USA,0.3122,0.4565,0.7244,0.3125
persona,ARG,0.3196,-0.4011,-0.412,0.6333
persona,BRA,0.4066,-0.4283,-0.6672,0.4667
persona,CHN,0.3802,-0.1988,-0.2875,0.4333
persona,DEU,0.3628,-0.4712,-0.3881,0.4333
persona,EGY,0.36,-0.0905,-0.2278,0.4815
persona,GBR,0.3542,-0.6258,-0.5022,0.5862
persona,GRC,0.3751,-0.2931,-0.2577,0.4333
persona,IDN,0.4385,-0.5445,-0.6093,0.4
persona,IND,0.4281,-0.6258,-0.6552,0.4667
persona,JPN,0.3618,-0.2526,-0.2574,0.4667
persona,MEX,0.4152,-0.622,-0.6605,0.3333
persona,NGA,0.4025,-0.4514,-0.5139,0.5
persona,NLD,0.368,-0.555,-0.3918,0.6
persona,RUS,0.3106,-0.3982,-0.4195,0.4667
persona,TUR,0.3518,-0.3253,-0.3409,0.3333
persona,USA,0.3651,-0.6953,-0.567,0.6333
