model,tvd,jsd,entropy_err,std_err,top_match
ARG_adapter,0.4686,0.2787,-0.6332,-0.6099,0.4667
BRA_adapter,0.4411,0.2736,-0.8576,-0.9325,0.5333
CHN_adapter,0.5225,0.3427,-0.8502,-0.6459,0.5
DEU_adapter,0.4046,0.2439,-0.7118,-0.5518,0.5667
EGY_adapter,0.563,0.3666,-0.5973,-0.5825,0.3333
GBR_adapter,0.4435,0.2629,-0.7632,-0.5956,0.4483
GRC_adapter,0.372,0.1978,-0.6291,-0.4512,0.5
IDN_adapter,0.5538,0.3513,-0.8929,-0.8263,0.4
IND_adapter,0.4913,0.2881,-0.9323,-0.8005,0.4333
JPN_adapter,0.3916,0.207,-0.4736,-0.364,0.5667
MEX_adapter,0.4789,0.2856,-0.9282,-0.8192,0.3667
NGA_adapter,0.4711,0.2718,-0.4399,-0.5958,0.3333
NLD_adapter,0.4801,0.2802,-0.562,-0.4635,0.5
RUS_adapter,0.4757,0.281,-1.1919,-0.8832,0.5
TUR_adapter,0.4444,0.2465,-0.4225,-0.445,0.4333
USA_adapter,0.5077,0.302,-0.8867,-0.7814,0.3333
base,0.4434,0.2487,-0.5401,-0.5349,0.4517
noise,0.3378,0.145,0.5682,0.8446,0.3307
persona,0.3751,0.1881,-0.438,-0.4486,0.479
