iso3,year,gdp_pc_ppp,gini,agri_empl
ABW,2015,36753.4041726178,,
ABW,2016,36926.1130685729,,
ABW,2017,38213.2892388309,,
ABW,2018,39378.2284109047,,
ABW,2019,39754.5600722149,,
AFE,2015,4207.36357863407,,58.5859877415178
AFE,2016,4210.93569503277,,58.1216366931965
AFE,2017,4223.1880503424,,57.5735372731434
AFE,2018,4229.83963374442,,56.6957898855092
AFE,2019,4200.53104400094,,55.8302172983627
AFG,2015,2967.692067153,,43.6487408597973
AFG,2016,2958.7853992308,,43.4117237317358
AFG,2017,2952.99891598909,,43.0029679081655
AFG,2018,2902.39211285546,,43.6069134634231
AFG,2019,2927.2451435353,,43.8771686940085
AFW,2015,6194.43449404851,,46.0687588023258
AFW,2016,6034.82698886686,,46.0722852144446
AFW,2017,6009.51611369801,,45.3495940284351
AFW,2018,6026.52757172836,,44.621073399832
AFW,2019,6070.28476944465,,43.6689529148668
AGO,2015,11389.7609549481,,52.7002102229648
AGO,2016,10963.9967887173,,52.9213208559868
AGO,2017,10565.1676483607,,53.0089425135627
AGO,2018,10154.8389228005,51.3,53.3091413100302
AGO,2019,9712.97944927269,,53.423323354571
ALB,2015,13876.7616296598,32.8,41.0919423057676
ALB,2016,14643.4285614716,33.7,39.6775824191201
ALB,2017,15359.3974577025,33.1,37.8115928363115
ALB,2018,16170.9234325287,30.1,37.0599551709775
ALB,2019,16761.1230178682,30.1,36.2351325540832
AND,2015,62105.1542389675,,
AND,2016,64402.8092369468,,
AND,2017,63239.6577711911,,
AND,2018,63048.5985572834,,
AND,2019,63215.899791913,,
ARB,2015,16397.4908780979,,18.6097197387369
ARB,2016,16632.4297723251,,18.0347373484351
ARB,2017,16568.8021684707,,17.9287859681384
ARB,2018,16749.8977688889,,16.9458307744665
ARB,2019,16808.651930358,,16.691290343826
ARE,2015,75238.5571858454,,2.78072930992053
ARE,2016,75671.036861385,,2.7199830802151
ARE,2017,72529.0423512365,,2.67812141806151
ARE,2018,72671.0787288764,26.4,2.63333424128417
ARE,2019,72822.9466438922,,2.58611467473211
ARG,2015,28669.2061336796,,7.97810861263688
ARG,2016,27802.1057201498,42.3,7.93976871110963
ARG,2017,28334.904184742,41.4,7.76779997823827
ARG,2018,27367.115094108,41.7,7.72421488276846
ARG,2019,26629.5529419501,43.3,7.61304714991947
ARM,2015,13112.7600902915,32.4,35.3288010836507
ARM,2016,13192.9940731731,32.5,33.5987515971242
ARM,2017,14243.8749003795,33.6,31.34359798323
ARM,2018,15037.0452420712,34.4,32.786395040351
ARM,2019,16215.3607965094,30.0,30.5863217690375
ATG,2015,25734.1516444171,,
ATG,2016,26627.71453894,,
ATG,2017,27199.1952402262,,
ATG,2018,28878.6067675471,,
ATG,2019,29651.8641526705,,
AUS,2015,55879.9958817103,,2.63650803423428
AUS,2016,56529.951824687,33.7,2.61998324165225
AUS,2017,56881.8569859104,,2.59605335120917
AUS,2018,57647.8455068105,34.3,2.61685053200616
AUS,2019,58048.6188420831,,2.55829744516573
AUT,2015,60951.6037273662,30.5,4.53100586483607
AUT,2016,61572.6257402404,30.8,4.34816137863786
AUT,2017,62535.8105711345,29.7,3.92985296138965
AUT,2018,63777.9362157476,30.8,3.69410892077711
AUT,2019,64609.2836396895,30.2,3.65613992670062
AZE,2015,20678.7539572375,,36.3558524226085
AZE,2016,19822.4105943941,,36.3368932341397
