iso3,m_altruism_membership,gps_altruism,n_altruism_membership
AND,0.05749418411432369,,1003
ARG,0.050182784978398134,0.02734668180346489,1003
ARM,0.06214227309893704,,1223
AUS,0.16624837330358802,0.15533144772052765,1793
BGD,0.06781319910514541,0.9064632654190063,1192
BOL,0.131866796305299,-0.005186883267015219,2057
BRA,0.05880106911034746,0.46435976028442383,1746
CAN,0.13165754106520658,0.22933843731880188,4018
CHL,0.08966666666666666,-0.10583535581827164,1000
CHN,0.031277557319223985,0.5048251152038574,3024
COL,0.22171052631578947,0.09587360173463821,1520
CYP,0.10406176569318562,,993
CZE,0.021285475792988316,-0.939616858959198,1198
DEU,0.08229508196721312,-0.05100206658244133,1525
ECU,0.1281997774067891,,1198
EGY,0.014039477342229632,0.6341461539268494,1199
ETH,0.17688743526846554,,1223
GBR,0.13817142122847595,0.028450366109609604,2594
GRC,0.025576869613566863,-0.1728164255619049,1199
GTM,0.18736157253599112,-0.13400402665138245,1204
HKG,0.11220883534136547,,2075
IDN,0.25041679691570284,0.10292664915323257,3199
IND,0.2486238532110092,-0.2676217555999756,1635
IRN,0.15304647542806316,0.5904965400695801,1499
IRQ,0.1400813692480359,-0.23216478526592255,1188
JOR,0.04930079908675799,0.15912073850631714,1168
JPN,0.02098903836571998,-0.2410411536693573,1338
KAZ,0.03970871118439131,0.17297221720218658,1213
KEN,0.36325301204819277,-0.31699398159980774,1245
KGZ,0.050627615062761505,,1195
KOR,0.07416331994645248,0.3936173915863037,1245
LBN,0.03638888888888889,,1200
LBY,0.21679357021996615,,1182
MAC,0.05849673202614379,,1020
MAR,0.1490277777777778,0.5590382218360901,1200
MDV,0.03886693017127799,,1012
MEX,0.11776819923371648,-0.8130887150764465,1740
MMR,0.17375,,1200
MNG,0.27289377289377287,,1638
MYS,0.18697638994668697,,1313
NGA,0.17405749932194195,-0.14435505867004395,1229
NIC,0.16208333333333333,-0.17819155752658844,1200
NIR,0.13707865168539327,,445
NLD,0.06261395657218631,-0.19006243348121643,2011
NZL,0.1713333333333333,,1000
PAK,0.142832106554504,-0.27611401677131653,1902
PER,0.05344332855093257,-0.1327207386493683,1394
PHL,0.131875,0.3808668553829193,1200
PRI,0.1867790594498669,,1127
ROU,0.040262172284644196,-0.23912186920642853,1246
RUS,0.016248839368616527,-0.06924083083868027,1795
SGP,0.058730947647448635,,2012
SRB,0.043010752688172046,-0.3164179027080536,1023
SVK,0.06059333893087041,,1191
THA,0.23922222222222225,-0.1466904729604721,1500
TJK,0.14986111111111108,,1200
TUN,0.04307195053400786,,1186
TUR,0.02864691976081212,-0.2789745330810547,2397
TWN,0.11556282365767237,,1223
UKR,0.06019607843137255,-0.12226596474647522,1275
URY,0.17205931917762052,,989
USA,0.16644091847265222,0.40642887353897095,2584
UZB,0.21775067750677504,,1230
VEN,0.05042016806722689,0.08039962500333786,1190
VNM,0.054027777777777765,-0.15891523659229279,1200
ZWE,0.17136539524599226,-0.04083532467484474,1206
