iso3,n_trust_general,m_trust_general,n_trust_in_group,m_trust_in_group,n_trust_out_group,m_trust_out_group,n_trust_institution,m_trust_institution,n_patience_child_qualities,m_patience_child_qualities,n_patience_work_values,m_patience_work_values,n_patience_financial,m_patience_financial,n_risktaking_economic_values,m_risktaking_economic_values,n_risktaking_rule_breaking,m_risktaking_rule_breaking,n_posrecip_child_tolerance,m_posrecip_child_tolerance,n_posrecip_religion,m_posrecip_religion,n_posrecip_charitable_confidence,m_posrecip_charitable_confidence,n_negrecip_moral_clarity,m_negrecip_moral_clarity,n_negrecip_justifiability,m_negrecip_justifiability,n_negrecip_punitiveness,m_negrecip_punitiveness,n_altruism_membership,m_altruism_membership,gps_trust,gps_patience,gps_risktaking,gps_posrecip,gps_negrecip,gps_altruism
AND,1001,0.25574425574425574,1004,0.8469455511288181,1004,0.49086985391766275,1004,0.47635015493581234,1004,0.672808764940239,1001,0.4010989010989011,1003,0.6179240057604963,1004,0.4200420540061974,1002,0.09869150587713461,1004,0.300796812749004,988,0.8917004048582996,997,0.5573386827148111,980,0.41859410430838995,1003,0.9167497507477568,1001,0.2662892662892663,1003,0.05749418411432369,,,,,,
ARG,952,0.20693277310924368,1002,0.8205256154357952,1002,0.527583721445997,1002,0.3705200709691728,1003,0.7337986041874377,962,0.7219334719334719,999,0.5539984428873318,994,0.49275281317534836,987,0.22773837667454688,1003,0.32901296111665007,951,0.8485804416403786,946,0.5965468639887245,969,0.5141612200435729,1000,0.7619444444444444,962,0.26484176484176486,1003,0.050182784978398134,-0.2067333310842514,-0.22930797934532166,0.041503168642520905,0.15967930853366852,-0.14045727252960205,0.02734668180346489
ARM,1221,0.08108108108108109,1223,0.8183428727173617,1223,0.37701008449168716,1223,0.41577178159353145,1218,0.7582101806239737,1200,0.6941666666666667,1218,0.47409231891990516,1223,0.5766784773326066,1215,0.045358939186099685,1218,0.39408866995073893,1149,0.6701479547432551,1107,0.5028605841613972,1149,0.3369113238564935,1220,0.944808743169399,1211,0.18497109826589594,1223,0.06214227309893704,,,,,,
AUS,1792,0.5401785714285714,1808,0.8608038348082596,1804,0.5903855629465387,1805,0.4896983687288397,1813,0.6696083838940982,1755,0.41908831908831906,1790,0.6313469894475482,1801,0.4310156908713267,1789,0.1339668343581144,1813,0.17264202978488694,1764,0.7380952380952381,1778,0.5481814773153356,1786,0.5778275475923851,1799,0.9341609536162065,1783,0.3836854240668037,1793,0.16624837330358802,0.29897257685661316,0.6570037603378296,0.1371365487575531,0.06966002285480499,0.022189751267433167,0.15533144772052765
BGD,1199,0.1292743953294412,1199,0.802613288851821,1199,0.41963210082476143,1200,0.6996481481481482,1200,0.8258333333333333,1191,0.9026028547439127,1200,0.6660185185185185,1200,0.34737654320987654,1200,0.08898148148148148,1200,0.2925,1197,0.15873015873015872,1029,0.5749919015225138,1200,0.4460185185185185,1200,0.9123148148148149,1200,0.19472222222222219,1192,0.06781319910514541,-0.17336532473564148,0.08113671094179153,-0.19806775450706482,0.1543675661087036,0.11328817158937454,0.9064632654190063
BOL,2047,0.08597948216902784,2067,0.6369940332204483,2067,0.2800757942267377,2067,0.33955813578455096,2059,0.7894609033511414,2019,0.6832590391282813,2058,0.6059820753698305,2060,0.5532632146709816,2035,0.32912912912912917,2059,0.2710053423992229,2004,0.8143712574850299,1916,0.48086290883785665,1912,0.4751278475127848,2067,0.7541525560393485,2004,0.2943557329784875,2057,0.131866796305299,-0.16032962501049042,0.07133110612630844,0.10303828865289688,0.1079196110367775,-0.003735218197107315,-0.005186883267015219
BRA,1730,0.06647398843930635,1757,0.6790931512047049,1756,0.4013382687927108,1758,0.3917772721526988,1762,0.793416572077185,1705,0.5302052785923753,1748,0.5635647088736333,1748,0.39952538350707684,1701,0.28310144359527073,1762,0.3847900113507378,1675,0.9002985074626866,1637,0.5839951130116067,1590,0.3582809224318659,1740,0.8920817369093231,1677,0.34764460345855697,1746,0.05880106911034746,-0.0026891387533396482,-0.26004019379615784,-0.2505967915058136,0.3512381911277771,-0.20162957906723022,0.46435976028442383
CAN,4018,0.4950223992035839,4018,0.8252032520325204,4018,0.6010038161606106,4018,0.5019412643106024,4018,0.603409656545545,4018,0.3791687406669985,4018,0.6137381781981085,4018,0.4306638644617738,4018,0.2590564681157015,4018,0.2926829268292683,4018,0.7359382777501244,4018,0.5565787290525965,4018,0.5288977379569715,4018,0.8594933908522759,4018,0.4265803882528621,4018,0.13165754106520658,0.24527503550052643,0.7184794545173645,0.18354815244674683,0.19679629802703857,0.022899141535162926,0.22933843731880188
CHL,974,0.14271047227926079,999,0.7152152152152154,999,0.43357246135023914,997,0.39306252089602145,1000,0.702,935,0.29518716577540105,985,0.5720248166948675,988,0.40931923826660666,973,0.24140687450039972,1000,0.43,944,0.7807203389830508,961,0.5678113076656262,943,0.5113703310946153,993,0.7529931744433255,971,0.36136857764046226,1000,0.08966666666666666,-0.08321409672498703,-0.15540830790996552,0.12537220120429993,0.024950547143816948,-0.12846584618091583,-0.10583535581827164
CHN,3009,0.6543702226653373,3033,0.8103088251456205,3032,0.4051506156552332,3033,0.6673645455544566,3022,0.6917604235605559,3020,0.6725165562913907,3027,0.6131116250045884,3030,0.43032636596993035,3029,0.06826602105572062,3022,0.3990734612839179,2974,0.7414256893073302,3017,0.6130814274665783,2987,0.46627980508127814,3033,0.856412792614573,3023,0.5020031609512258,3024,0.031277557319223985,0.5528057813644409,0.3981046676635742,-0.01981012150645256,0.4793371856212616,0.025847053155303,0.5048251152038574
