iso3,m_negrecip_moral_clarity,m_negrecip_justifiability,m_negrecip_punitiveness,gps_negrecip,n_negrecip_moral_clarity,n_negrecip_justifiability,n_negrecip_punitiveness
AND,0.41859410430838995,0.9167497507477568,0.2662892662892663,,980,1003,1001
ARG,0.5141612200435729,0.7619444444444444,0.26484176484176486,-0.14045727252960205,969,1000,962
ARM,0.3369113238564935,0.944808743169399,0.18497109826589594,,1149,1220,1211
AUS,0.5778275475923851,0.9341609536162065,0.3836854240668037,0.022189751267433167,1786,1799,1783
BGD,0.4460185185185185,0.9123148148148149,0.19472222222222219,0.11328817158937454,1200,1200,1200
BOL,0.4751278475127848,0.7541525560393485,0.2943557329784875,-0.003735218197107315,1912,2067,2004
BRA,0.3582809224318659,0.8920817369093231,0.34764460345855697,-0.20162957906723022,1590,1740,1677
CAN,0.5288977379569715,0.8594933908522759,0.4265803882528621,0.022899141535162926,4018,4018,4018
CHL,0.5113703310946153,0.7529931744433255,0.36136857764046226,-0.12846584618091583,943,993,971
CHN,0.46627980508127814,0.856412792614573,0.5020031609512258,0.025847053155303,2987,3033,3023
COL,0.4527046783625731,0.8131213450292397,0.3291666666666666,-0.3092086911201477,1520,1520,1520
CYP,0.4614919598597509,0.9109772423025435,0.1860570908677357,,919,996,977
CZE,0.4740927796483352,0.7827480490523968,0.4239691931999624,0.2903363108634949,1188,1196,1183
DEU,0.555109624674842,0.9613147178592206,0.16953262786596118,-0.2942652404308319,1495,1528,1512
ECU,0.47938916994566233,0.7592901491984061,0.29507426207933823,,1186,1199,1182
EGY,0.3971925662317122,0.9542538354253837,0.6265060240963856,0.0348358154296875,1124,1195,1162
ETH,0.47614991482112434,0.9389250814332247,0.1256904826586978,,1174,1228,1227
GBR,0.5417272206808473,0.918837975441749,0.38301114594218044,0.024550387635827065,2523,2597,2552
GRC,0.5289351851851851,0.9599332220367279,0.15927223195174156,0.4293229877948761,1152,1198,1142
GTM,0.5304540420819491,0.7566181185307319,0.4547632209323751,-0.4893120229244232,1204,1213,1206
HKG,0.46881615372089236,0.8288331726133076,0.3864664082687339,,2047,2074,2064
IDN,0.43767625493513823,0.84267945243555,0.26467902795336423,0.1512729823589325,3152,3198,3164
IND,0.661498708010336,0.8564732290222485,0.316991452991453,0.07119843363761902,1548,1683,1625
IRN,0.5465320792230633,0.8326657765910104,0.6513177598083257,0.11850626766681671,1453,1498,1484
IRQ,0.6611111111111111,0.7788425925925926,0.4400925925925926,0.09443917125463486,1200,1200,1200
JOR,0.40877340039117077,0.8695531501526506,0.4817613583356657,-0.3151598274707794,1193,1201,1191
JPN,0.3851153039832285,0.9527861194527861,0.6446273433927755,0.22034327685832977,1060,1332,1215
KAZ,0.4913539367181751,0.8025435073627843,0.27603561749903216,-0.20160871744155884,1208,1245,1148
KEN,0.42696629213483145,0.7610663082437276,0.29461000735835174,-0.09605418145656586,1246,1240,1208
KGZ,0.673665791776028,0.8460736951785546,0.12745670363884024,,1143,1173,1142
KOR,0.4999553770638108,0.8083444890673807,0.3710843373493976,0.6647935509681702,1245,1245,1245
LBN,0.5627815315315315,0.8123148148148147,0.3150855068309927,,1184,1200,1163
LBY,0.5609871295312315,0.9018297307546453,0.3935599284436494,,941,1172,1118
MAC,0.43789565597031216,0.8304522722330944,0.33180528268936915,,1018,1022,1018
MAR,0.412962962962963,0.7670370370370371,0.36703703703703705,-0.48759108781814575,1200,1200,1200
MDV,0.486634460547504,0.9358892097101914,0.6872388299582128,,1035,1039,1037
MEX,0.5489816963134828,0.7218057157503525,0.2930944963655244,-0.1146494597196579,1724,1734,1712
MMR,0.3028703703703704,0.8250925925925926,0.3258145363408521,,1200,1200,1197
MNG,0.5333061999728667,0.7155067155067155,0.4641161307827974,,1638,1638,1638
MYS,0.4178725564864179,0.6947194719471947,0.3972243378183972,,1313,1313,1313
NGA,0.44553555191853067,0.9062247372675829,0.18014571948998181,0.1765047311782837,1222,1237,1220
NIC,0.5152777777777778,0.794537037037037,0.14592592592592596,-0.3882535994052887,1200,1200,1200
NIR,0.47937231080739057,0.9179123069257599,0.3488488488488489,,439,446,444
NLD,0.5009447187176206,0.9482546086176948,0.2668407310704961,0.41444092988967896,1823,1983,1915
NZL,0.5941463414634146,0.923564143853999,0.36336644969738496,,1025,1035,973
PAK,0.4779194710119258,0.8610830527497195,0.300149528410398,0.15996569395065308,1882,1980,1932
PER,0.4050099206349206,0.8337710920089143,0.3283968600793073,0.02901185117661953,1344,1396,1373
PHL,0.47956630525437866,0.6151851851851852,0.3472338059494023,-0.15014693140983582,1199,1200,1199
PRI,0.515563801278087,0.8986694469268196,0.19382162431489786,,1078,1119,1115
ROU,0.45314766463591527,0.9088134984742418,0.15065276603738142,-0.38201791048049927,1149,1238,1183
RUS,0.5292726197516262,0.7733494363929145,0.3958459366807824,-0.15547128021717072,1691,1794,1653
SGP,0.45554439982150824,0.894544244843646,0.41990833892242346,,1992,2004,1988
SRB,0.43931795386158473,0.723109336881792,0.41550808183565047,-0.043900661170482635,997,1002,983
SVK,0.4730426629160806,0.7765204433268138,0.24121390112579538,,1185,1193,1135
THA,0.4441429217548621,0.886387395459976,0.38888888888888884,0.23695966601371765,1474,1488,1486
TJK,0.5102777777777778,0.8172685185185184,0.16259259259259262,,1200,1200,1200
TUN,0.23170618317061834,0.8730158730158731,0.2616934738398965,,1195,1204,1202
TUR,0.5223278594065112,0.9166089166089165,0.2548853016142736,0.5167550444602966,2314,2405,2354
TWN,0.40728627237212683,0.8652675570091759,0.6625750136388434,,1223,1223,1222
UKR,0.4868860276585598,0.8144068537459568,0.3845253299276288,-0.19130994379520416,1165,1271,1044
URY,0.5042645168828134,0.8649598393574297,0.30549875028402634,,951,996,978
USA,0.5093419633225459,0.8652179536929248,0.5012557374209752,0.011553643271327019,2575,2577,2566
UZB,0.48382683475031757,0.8293199855699855,0.1900633855331842,,1137,1232,1192
VEN,0.5446311858076563,0.7739495798319328,0.2590102707749767,-0.20394811034202576,1190,1190,1190
VNM,0.6766666666666666,0.7211574074074074,0.3525,-0.14012926816940308,1200,1200,1200
ZWE,0.3137147048038137,0.8944673068129859,0.16367980884109917,-0.1276615709066391,1212,1215,1209
