iso3,m_patience_child_qualities,m_patience_work_values,m_patience_financial,gps_patience,n_patience_child_qualities,n_patience_work_values,n_patience_financial
AND,0.672808764940239,0.4010989010989011,0.6179240057604963,,1004,1001,1003
ARG,0.7337986041874377,0.7219334719334719,0.5539984428873318,-0.22930797934532166,1003,962,999
ARM,0.7582101806239737,0.6941666666666667,0.47409231891990516,,1218,1200,1218
AUS,0.6696083838940982,0.41908831908831906,0.6313469894475482,0.6570037603378296,1813,1755,1790
BGD,0.8258333333333333,0.9026028547439127,0.6660185185185185,0.08113671094179153,1200,1191,1200
BOL,0.7894609033511414,0.6832590391282813,0.6059820753698305,0.07133110612630844,2059,2019,2058
BRA,0.793416572077185,0.5302052785923753,0.5635647088736333,-0.26004019379615784,1762,1705,1748
CAN,0.603409656545545,0.3791687406669985,0.6137381781981085,0.7184794545173645,4018,4018,4018
CHL,0.702,0.29518716577540105,0.5720248166948675,-0.15540830790996552,1000,935,985
CHN,0.6917604235605559,0.6725165562913907,0.6131116250045884,0.3981046676635742,3022,3020,3027
COL,0.8,0.6898026315789474,0.6239035087719299,-0.34593233466148376,1520,1520,1520
CYP,0.4935064935064935,0.6298429319371728,0.572684246112238,,770,955,986
CZE,0.4765494137353434,0.5080508474576271,0.612178594634735,0.38435131311416626,1194,1180,1197
DEU,0.6478688524590164,0.46919431279620855,0.6791017482261723,0.6243981719017029,1525,1477,1519
ECU,0.78875,0.5740117746005047,0.5933351898264179,,1200,1189,1197
EGY,0.8369474562135113,0.9205807002561913,0.4104346214437958,-0.3831945061683655,1199,1171,1199
ETH,0.791869918699187,0.7812241521918941,0.46873300706905924,,1230,1209,1226
GBR,0.7019043917605907,0.3854125928822839,0.6337623337623338,0.5350247025489807,2573,2557,2590
GRC,0.6244778613199666,0.6432337434094904,0.4458426547352722,-0.3600853979587555,1197,1138,1192
GTM,0.38100102145045966,0.5874694873881204,0.6627791338938613,-0.2572553753852844,979,1229,1229
HKG,0.5985881207400194,0.4900774443368829,0.5917337627482555,,2054,2066,2070
IDN,0.785,0.5224419334588826,0.6077040745376164,-0.36182090640068054,3200,3186,3196
IND,0.6997635933806147,0.6337522441651705,0.6072842438638164,-0.10873283445835114,1692,1671,1684
IRN,0.585390260173449,0.8090114324142569,0.5050774590467719,-0.38071906566619873,1499,1487,1499
IRQ,0.8008333333333333,0.6978723404255319,0.3837962962962963,-0.41695645451545715,1200,1175,1200
