iso3,m_posrecip_child_tolerance,m_posrecip_religion,m_posrecip_charitable_confidence,gps_posrecip,n_posrecip_child_tolerance,n_posrecip_religion,n_posrecip_charitable_confidence
AND,0.300796812749004,0.8917004048582996,0.5573386827148111,,1004,988,997
ARG,0.32901296111665007,0.8485804416403786,0.5965468639887245,0.15967930853366852,1003,951,946
ARM,0.39408866995073893,0.6701479547432551,0.5028605841613972,,1218,1149,1107
AUS,0.17264202978488694,0.7380952380952381,0.5481814773153356,0.06966002285480499,1813,1764,1778
BGD,0.2925,0.15873015873015872,0.5749919015225138,0.1543675661087036,1200,1197,1029
BOL,0.2710053423992229,0.8143712574850299,0.48086290883785665,0.1079196110367775,2059,2004,1916
BRA,0.3847900113507378,0.9002985074626866,0.5839951130116067,0.3512381911277771,1762,1675,1637
CAN,0.2926829268292683,0.7359382777501244,0.5565787290525965,0.19679629802703857,4018,4018,4018
CHL,0.43,0.7807203389830508,0.5678113076656262,0.024950547143816948,1000,944,961
CHN,0.3990734612839179,0.7414256893073302,0.6130814274665783,0.4793371856212616,3022,2974,3017
COL,0.22697368421052633,0.8769736842105263,0.4875,0.1996425837278366,1520,1520,1520
CYP,0.15141242937853108,0.7995594713656388,0.5460212687935461,,885,908,909
CZE,0.483249581239531,0.710387323943662,0.5333333333333334,-0.30193787813186646,1194,1136,1175
DEU,0.15868852459016394,0.4416961130742049,0.5753361149745018,-0.07986503094434738,1525,1415,1438
ECU,0.30416666666666664,0.8703543647363872,0.592186621697583,,1200,1157,1186
EGY,0.21851542952460384,0.49351771823681934,0.4973147153598282,0.569984495639801,1199,1157,931
ETH,0.540650406504065,0.24448078495502862,0.6499402628434888,,1230,1223,1116
GBR,0.22153128643606684,,0.6312952005259698,-0.03833173215389252,2573,0,2535
GRC,0.5346700083542189,0.8523890784982935,0.48818897637795283,-0.0437733493745327,1197,1172,1143
GTM,0.21684414327202323,0.8076285240464345,0.4418226200162735,-0.06493174284696579,1033,1206,1229
HKG,0.28140214216163584,0.7404085700049826,0.5473049991858004,,2054,2007,2047
IDN,0.529375,0.5713832487309645,0.7487468671679198,0.14521285891532898,3200,3152,3192
IND,0.5549645390070922,0.7022058823529411,0.6623156876963985,-0.4538295865058899,1692,1632,1379
IRN,0.5950633755837225,0.8136739293764087,0.6798569192935391,0.5509329438209534,1499,1331,1491
IRQ,0.2783333333333333,0.7658282740676496,0.47575757575757577,-0.28882601857185364,1200,1153,1100
JOR,0.33000831255195345,0.6813559322033899,0.5048188767032237,0.28744587302207947,1203,1180,1003
JPN,0.37398373983739835,0.7808041504539559,0.43496324704378403,-0.23702187836170197,1353,771,1043
KAZ,0.438871473354232,0.7041522491349481,0.5953593661573289,0.3076663017272949,1276,1156,1178
KEN,0.4557661927330174,0.7471910112359551,0.6443368307775088,-0.3184950053691864,1266,1246,1239
KGZ,0.4866666666666667,0.7731164383561644,0.5985507246376813,,1200,1168,1150
KOR,0.491566265060241,0.5012048192771085,0.5443105756358769,-0.16840630769729614,1245,1245,1245
LBN,0.35,0.6680851063829787,0.3685106382978724,,1200,1175,1175
LBY,0.31270903010033446,0.5391903531438416,0.47773766546329727,,1196,1161,1108
MAC,0.4340175953079179,0.6856581532416502,0.6090250329380763,,1023,1018,1012
MAR,0.4925,0.5458333333333333,0.4627777777777779,0.5531409382820129,1200,1200,1200
MDV,0.6544754571703562,0.840625,0.6504854368932039,,1039,960,1030
MEX,0.334290637564618,0.8531791907514451,0.4687561600630791,-1.0379811525344849,1741,1730,1691
MMR,0.49333333333333335,0.8066666666666666,0.8344444444444444,,1200,1200,1200
MNG,0.5659340659340659,0.8363858363858364,0.4803850782190133,,1638,1638,1385
MYS,0.30997715156131,0.4881949733434882,0.6457855869620577,,1313,1313,1309
NGA,0.38237671786580435,0.6151342554922702,0.629783693843594,-0.37476322054862976,1237,1229,1202
NIC,0.25583333333333336,0.8442906574394463,0.5205555555555557,-0.41596606373786926,1200,1156,1200
NIR,0.21867881548974943,,0.5895691609977324,,439,0,441
NLD,0.19806763285024154,0.5989672977624785,0.484221980413493,-0.1484014242887497,2070,1743,1838
NZL,0.17313150425733206,0.7457962413452027,0.5989417989417989,,1057,1011,945
PAK,0.5764411027568922,0.42057026476578413,0.5975448536355052,-0.02244466543197632,1995,1964,1765
PER,0.3807142857142857,0.8441558441558441,0.4670719351570416,-0.08682620525360107,1400,1386,1316
PHL,0.43833333333333335,0.7416387959866221,0.7383931053655826,0.21247929334640503,1200,1196,1199
PRI,0.22892635314995563,0.9009990917347865,0.6853357422463114,,1127,1101,1107
ROU,0.5210819411296739,0.7781456953642384,0.48268593797049086,-0.11751875281333923,1257,1208,1107
RUS,0.43701657458563536,0.7853211009174312,0.4877260981912145,-0.09340506792068481,1810,1635,1548
SGP,0.3548707753479125,0.7849350649350649,0.5484305796264203,,2012,1925,1731
SRB,0.3591481122942885,0.8553022794846382,0.4124124124124124,0.37641996145248413,1033,1009,999
SVK,0.44,0.7062937062937062,0.5463680734998566,,1200,1144,1161
THA,0.478,0.6094117647058823,0.6050269299820468,0.3043249845504761,1500,1275,1114
TJK,0.6,0.5216666666666666,0.6044823232323233,,1200,1200,1056
TUN,0.1760268231349539,0.4609571788413098,0.4699201964395335,,1193,1191,1086
TUR,0.3337690631808279,0.45133505598621876,0.5328739592305485,-0.44317981600761414,2295,2322,2322
TWN,0.2706459525756337,0.8669950738916257,0.5637825845812535,,1223,1218,1202
UKR,0.5213343677269201,0.7747747747747747,0.5048573163327263,0.16583691537380219,1289,1110,1098
URY,0.179,0.8603411513859275,0.6863762102351315,,1000,938,964
USA,0.30594135802469136,0.7790834312573442,0.576099649669132,0.20365002751350403,2592,2553,2569
UZB,0.4112,0.5404178019981835,0.5914253265190235,,1250,1101,1174
VEN,0.30168067226890755,0.8,0.492436974789916,0.04784287139773369,1190,1190,1190
VNM,0.5366666666666666,0.7441666666666666,0.6851063829787236,-0.26562613248825073,1200,1200,1175
ZWE,0.27325102880658436,0.8507462686567164,0.7042564953012715,-0.1646638661623001,1215,1206,1206
