iso3,m_risktaking_economic_values,m_risktaking_rule_breaking,gps_risktaking,n_risktaking_economic_values,n_risktaking_rule_breaking
AND,0.4200420540061974,0.09869150587713461,,1004,1002
ARG,0.49275281317534836,0.22773837667454688,0.041503168642520905,994,987
ARM,0.5766784773326066,0.045358939186099685,,1223,1215
AUS,0.4310156908713267,0.1339668343581144,0.1371365487575531,1801,1789
BGD,0.34737654320987654,0.08898148148148148,-0.19806775450706482,1200,1200
BOL,0.5532632146709816,0.32912912912912917,0.10303828865289688,2060,2035
BRA,0.39952538350707684,0.28310144359527073,-0.2505967915058136,1748,1701
CAN,0.4306638644617738,0.2590564681157015,0.18354815244674683,4018,4018
CHL,0.40931923826660666,0.24140687450039972,0.12537220120429993,988,973
CHN,0.43032636596993035,0.06826602105572062,-0.01981012150645256,3030,3029
COL,0.5152046783625731,0.2959795321637427,-0.04517452418804169,1520,1520
CYP,0.38258628999369737,0.20889792231255644,,999,984
CZE,0.47669753086419747,0.3727357609710551,-0.020464401692152023,1200,1190
DEU,0.42816469557599657,0.09216757741347904,-0.04448588192462921,1522,1525
ECU,0.5100714749837557,0.3303554811092499,,1197,1194
EGY,0.4779570889754529,0.06584362139917696,-0.2808961868286133,1198,1188
ETH,0.41153602748395257,0.11328976034858387,,1229,1224
GBR,0.44385859625057156,0.1700513085844867,0.04868467152118683,2592,2577
GRC,0.4097106288258208,0.15427457532720693,-0.15707357227802277,1198,1197
GTM,0.5525578989013664,0.29979730974755847,-0.21859027445316315,1217,1206
HKG,0.4815082681524341,0.16382453882453882,,2074,2072
IDN,0.5468695712598152,0.19309600862998924,-0.321643203496933,3198,3193
IND,0.5786676430774693,0.14592812396966698,-0.27524739503860474,1669,1685
IRN,0.4999752756762103,0.19045488441461594,0.3378799855709076,1498,1490
IRQ,0.49682098765432103,0.22074074074074077,0.16578853130340576,1200,1200
JOR,0.4848680767217758,,-0.1248016506433487,1203,0
JPN,0.4117015566290928,0.03597724230254351,-0.3558382987976074,1311,1328
KAZ,0.5502207021544039,0.3645524066576698,0.24510741233825684,1267,1235
KEN,0.44006466784244563,0.2870219322095342,0.2439042031764984,1260,1226
KGZ,0.6248302469135802,0.1926118827160494,,1200,1152
KOR,0.521731369924141,0.2189201249442213,-0.03935208171606064,1245,1245
LBN,0.47515432098765437,,,1200,0
LBY,0.5431104833647207,0.067345948568656,,1180,1145
MAC,0.4577806769587591,0.1684061752554903,,1022,1022
MAR,0.4670987654320987,0.23666666666666666,-0.06895921379327774,1200,1200
MDV,0.4006166898370941,0.1581649021495027,,1039,1039
MEX,0.4779999145627751,0.3667764219768868,-0.13891679048538208,1734,1721
MMR,0.49074074074074076,0.2401373804882577,,1200,1197
MNG,0.5437977660199882,0.3293989960656627,,1638,1638
MYS,0.48557163408648546,0.3310484894643311,,1313,1313
NGA,0.548384682176113,0.1129134000180229,0.38598349690437317,1237,1233
NIC,0.5753395061728395,0.29444444444444445,-0.5472273230552673,1200,1200
NIR,0.4154210264075735,0.17017017017017017,,446,444
NLD,0.4542619350790751,0.12170922825412932,0.1893262416124344,2007,1971
NZL,0.40080949212685735,0.12755598831548198,,1002,1027
PAK,0.5395166982428766,0.1158344579397211,0.019619442522525787,1994,1976
PER,0.4572135312207515,0.19695872556118754,0.15494471788406372,1385,1381
PHL,0.5159567901234569,0.4235010657029005,0.2946476340293884,1200,1199
PRI,0.513827160493827,0.1255346662687755,,1125,1117
ROU,0.5030814814814815,0.1012646793134598,-0.22955098748207092,1250,1230
RUS,0.5381456844871478,0.4329264475743349,-0.32336241006851196,1804,1775
SGP,0.47985834440017705,0.09110110610860986,,2008,1999
SRB,0.49554051149795836,0.3265582655826559,-0.12961876392364502,1034,984
SVK,0.4678086419753086,0.28774688757839556,,1200,1187
THA,0.5179979175963112,0.13514525306978137,-0.1235896497964859,1494,1484
TJK,0.6294135802469136,0.1776851851851852,,1200,1200
TUN,0.4811126479176271,0.1245035559250023,,1205,1203
TUR,0.47525993601574995,0.12185929648241206,0.023427221924066544,2408,2388
TWN,0.473426001635323,0.13773053511401837,,1223,1223
UKR,0.492930086410055,0.2905435459478694,-0.2186678797006607,1273,1249
URY,0.48746839208686593,0.16769972451790632,,996,968
USA,0.3279911775658102,0.21473693319487713,0.11658679693937302,2586,2568
UZB,0.4725889996706488,0.5079886789007577,,1237,1217
VEN,0.539526921879863,0.23183940242763773,0.24952252209186554,1190,1190
VNM,0.489320987654321,0.2693518518518518,-0.00868162140250206,1200,1200
ZWE,0.4865264441396128,0.122194742145278,0.5231947898864746,1215,1213
