iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,gps_trust,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution
AND,0.25574425574425574,0.8469455511288181,0.49086985391766275,0.47635015493581234,,1001,1004,1004,1004
ARG,0.20693277310924368,0.8205256154357952,0.527583721445997,0.3705200709691728,-0.2067333310842514,952,1002,1002,1002
ARM,0.08108108108108109,0.8183428727173617,0.37701008449168716,0.41577178159353145,,1221,1223,1223,1223
AUS,0.5401785714285714,0.8608038348082596,0.5903855629465387,0.4896983687288397,0.29897257685661316,1792,1808,1804,1805
BGD,0.1292743953294412,0.802613288851821,0.41963210082476143,0.6996481481481482,-0.17336532473564148,1199,1199,1199,1200
BOL,0.08597948216902784,0.6369940332204483,0.2800757942267377,0.33955813578455096,-0.16032962501049042,2047,2067,2067,2067
BRA,0.06647398843930635,0.6790931512047049,0.4013382687927108,0.3917772721526988,-0.0026891387533396482,1730,1757,1756,1758
CAN,0.4950223992035839,0.8252032520325204,0.6010038161606106,0.5019412643106024,0.24527503550052643,4018,4018,4018,4018
CHL,0.14271047227926079,0.7152152152152154,0.43357246135023914,0.39306252089602145,-0.08321409672498703,974,999,999,997
CHN,0.6543702226653373,0.8103088251456205,0.4051506156552332,0.6673645455544566,0.5528057813644409,3009,3033,3032,3033
COL,0.045394736842105265,0.6815789473684211,0.33837719298245617,0.36442982456140355,0.00554653350263834,1520,1520,1520,1520
CYP,0.08020833333333334,0.8105984620528253,0.4086257309941521,0.4939955106621774,,960,997,988,990
CZE,0.37279596977329976,0.7919099249374478,0.49068668334723387,0.4663182831661093,-0.450684130191803,1191,1199,1199,1196
DEU,0.45951417004048584,0.8403187077057411,0.5290901137357831,0.5355701275045538,-0.11882252991199493,1482,1527,1524,1525
ECU,0.05862361937128292,0.6291353906032805,0.276875,0.45990740740740743,,1177,1199,1200,1200
EGY,0.07351712614870509,0.8779166666666667,0.45678240740740744,0.46544888133673185,0.6090208888053894,1197,1200,1200,1177
ETH,0.11908646003262642,0.764769647696477,0.48547877145438123,0.6238753387533875,,1226,1230,1230,1230
GBR,0.4670821971172575,0.8736734432936965,0.618969929622521,0.4570329154941588,0.23470205068588257,2567,2607,2605,2606
GRC,0.08417508417508418,0.8286071726438698,0.3562731481481482,0.4428677425338527,-0.35150548815727234,1188,1199,1200,1198
GTM,0.17982099267697316,0.7498633879781421,0.3961074561403509,0.33989693517765124,-0.362962931394577,1229,1220,1216,1229
HKG,0.39496611810261373,0.7801350048216008,0.47890176511615434,0.5321246717049901,,2066,2074,2071,2073
IDN,0.051891216005001566,0.6897916666666666,0.3513107638888889,0.6922881944444446,0.2635972201824188,3199,3200,3200,3200
IND,0.17685851318944845,0.8119455943228858,0.49326897819805626,0.6879202784344629,-0.20398138463497162,1668,1691,1692,1692
IRN,0.1483957219251337,0.8115410273515677,0.45565562226669637,0.6269698317396784,0.3004699945449829,1496,1499,1499,1499
IRQ,0.11243611584327087,0.8457047539616347,0.4467399369319237,0.3952977184195883,0.2896195352077484,1174,1199,1198,1198
JOR,0.1596989966555184,0.8223884732612912,0.47790719171750795,0.5755111481173096,0.3898036479949951,1196,1203,1202,1201
JPN,0.3559718969555035,0.7811019695836451,0.412952945217242,0.48529021558872315,-0.5187299251556396,1281,1337,1294,1340
KAZ,0.23891625615763548,0.7785620915032679,0.4375218378756115,0.6307682188897659,0.15293806791305542,1218,1275,1272,1267
KEN,0.09584664536741214,0.7649775666402745,0.42753145069059556,0.5203336855080121,-0.4223032295703888,1252,1263,1263,1262
KGZ,0.11848739495798319,0.7966360856269113,0.44583449170605144,0.49871081432016323,,1190,1199,1199,1198
KOR,0.3293172690763052,0.7860776439089692,0.4130522088353414,0.4790896921017403,-0.09921464323997498,1245,1245,1245,1245
LBN,0.09916666666666667,0.7438888888888889,0.4157407407407408,0.41092592592592597,,1200,1200,1200,1200
LBY,0.09268707482993198,0.8460251046025103,0.41292108691606183,0.4905127489298344,,1176,1195,1194,1194
MAC,0.4380165289256198,0.7953730856956664,0.48325722983257235,0.5824191968658179,,968,1023,1022,1021
MAR,0.165,0.7169444444444445,0.40722222222222226,0.4430555555555556,-0.09031475335359573,1200,1200,1200,1200
MDV,0.21324245374878287,0.8026948989412898,0.3730082344134318,0.45057803468208096,,1027,1039,1039,1038
MEX,0.10299194476409666,0.66896419682175,0.3277650137213607,0.31922585997830116,-0.3570720851421356,1738,1741,1741,1741
MMR,0.15083333333333335,0.7775,0.40562500000000007,0.631,,1200,1200,1200,1200
MNG,0.2749540722596448,0.7714692714692714,0.4224664224664225,0.4225916803503011,,1633,1638,1638,1624
MYS,0.19573495811119573,0.7895404925107894,0.44617923330794623,0.5666158536585366,,1313,1313,1313,1312
NGA,0.12682926829268293,0.6880894637563999,0.4185080391628492,0.49117488547561305,-0.057804401963949203,1230,1237,1237,1237
