country,question_id,gps_dimension,response_type,option_code,option_label,count,n_valid,n_country,prob,polarity,question_text
ARG,Q12,posrecip,multiple_response_max_5,1,Yes,673,1003,1003,0.67098703888335,1,Is tolerance and respect for other people one of the qualities children should be encouraged to learn at home?
ARG,Q12,posrecip,multiple_response_max_5,2,No,330,1003,1003,0.32901296111665007,1,Is tolerance and respect for other people one of the qualities children should be encouraged to learn at home?
ARG,Q13,patience,multiple_response_max_5,1,Yes,218,1003,1003,0.21734795613160518,1,"Is thrift, saving money and things one of the qualities children should be encouraged to learn at home?"
ARG,Q13,patience,multiple_response_max_5,2,No,785,1003,1003,0.7826520438683948,1,"Is thrift, saving money and things one of the qualities children should be encouraged to learn at home?"
ARG,Q14,patience,multiple_response_max_5,1,Yes,316,1003,1003,0.3150548354935194,1,"Is determination, perseverance one of the qualities children should be encouraged to learn at home?"
ARG,Q14,patience,multiple_response_max_5,2,No,687,1003,1003,0.6849451645064806,1,"Is determination, perseverance one of the qualities children should be encouraged to learn at home?"
ARG,Q43,patience,single_choice_3,1,Good thing,164,962,1003,0.1704781704781705,-1,"If this change were to happen, would it be a good thing, a bad thing, or would you not mind: less importance placed on work in our lives?"
ARG,Q43,patience,single_choice_3,2,Don't mind,207,962,1003,0.2151767151767152,-1,"If this change were to happen, would it be a good thing, a bad thing, or would you not mind: less importance placed on work in our lives?"
ARG,Q43,patience,single_choice_3,3,Bad thing,591,962,1003,0.6143451143451143,-1,"If this change were to happen, would it be a good thing, a bad thing, or would you not mind: less importance placed on work in our lives?"
ARG,Q50,patience,scale_1_10,1,Completely dissatisfied,67,999,1003,0.06706706706706707,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,2,2,44,999,1003,0.044044044044044044,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,3,3,56,999,1003,0.056056056056056056,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,4,4,83,999,1003,0.08308308308308308,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,5,5,125,999,1003,0.12512512512512514,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,6,6,143,999,1003,0.14314314314314314,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,7,7,182,999,1003,0.18218218218218218,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,8,8,181,999,1003,0.18118118118118118,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,9,9,60,999,1003,0.06006006006006006,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q50,patience,scale_1_10,10,Completely satisfied,58,999,1003,0.05805805805805806,1,How satisfied are you with the financial situation of your household on a scale from 1 to 10?
ARG,Q57,trust,single_choice_2,1,Most people can be trusted,197,952,1003,0.20693277310924368,-1,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?"
ARG,Q57,trust,single_choice_2,2,Need to be very careful,755,952,1003,0.7930672268907563,-1,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?"
ARG,Q58,trust,single_choice_4,1,Trust completely,883,1001,1003,0.8821178821178821,-1,"How much do you trust your family: completely, somewhat, not very much or not at all?"
ARG,Q58,trust,single_choice_4,2,Trust somewhat,98,1001,1003,0.0979020979020979,-1,"How much do you trust your family: completely, somewhat, not very much or not at all?"
ARG,Q58,trust,single_choice_4,3,Do not trust very much,17,1001,1003,0.016983016983016984,-1,"How much do you trust your family: completely, somewhat, not very much or not at all?"
ARG,Q58,trust,single_choice_4,4,Do not trust at all,3,1001,1003,0.002997002997002997,-1,"How much do you trust your family: completely, somewhat, not very much or not at all?"
ARG,Q59,trust,single_choice_4,1,Trust completely,246,990,1003,0.24848484848484848,-1,"How much do you trust your neighborhood: completely, somewhat, not very much or not at all?"
ARG,Q59,trust,single_choice_4,2,Trust somewhat,527,990,1003,0.5323232323232323,-1,"How much do you trust your neighborhood: completely, somewhat, not very much or not at all?"
